Name,Position,Model_Projection_Sum_of_HR_R_RBI_SB,Actual_Sum_of_HR_R_RBI_SB,ADP,Position_Model_Proj_Scaled,Modej_Proj_Scaled,Position_Actuals_Scaled,Actuals_Scaled,OVR_Scaled_Score,Position_Batter_Ranking,Overall_Batter_Ranking
Kevin Newman,SS,260.7609736,188,500.6,0.475808943,0.402101061,0.257142857,0.232520325,0.011439399,29,220
Jace Peterson,2B,246.4252759,195,501.5,0.440025369,0.370901835,0.283553875,0.243902439,0.011287257,30,221
Ramon Urias,2B,238.2570078,204,406.3,0.408899329,0.353124979,0.300567108,0.258536585,0.011220399,34,222
Harold Ramirez,OF,254.1183111,200,361.3,0.436973562,0.387644427,0.256944444,0.25203252,0.010969442,80,223
Nick Solak,2B,232.7949067,207,900.5,0.388085421,0.341237638,0.306238185,0.263414634,0.010682761,38,224
Luis Rengifo,SS,254.0394205,186,289,0.471600999,0.387472735,0.253571429,0.229268293,0.010623318,31,225
Aaron Hicks,OF,248.1192563,202,522.2,0.415884523,0.374588497,0.260416667,0.255284553,0.010356679,82,226
Tyler Stephenson,C,202.4,189,170.3,0.49068323,0.275088256,0.325358852,0.234146341,0.010283081,23,227
Alejandro Kirk,C,197,195,126.5,0.469720497,0.263336068,0.339712919,0.243902439,0.010248919,25,228
Danny Jansen,C,186.2,209,236.2,0.427795031,0.239831692,0.373205742,0.266666667,0.01021079,27,229
Matt Carpenter,2B,260.3527815,174,428.3,0.493097587,0.401212699,0.243856333,0.209756098,0.010119433,24,230
Kevin Kiermaier,OF,233.7669481,216,500.3,0.365430511,0.343353122,0.284722222,0.27804878,0.009933177,95,231
James McCann,C,216.8,172,675,0.546583851,0.306427425,0.284688995,0.206504065,0.009846541,15,232
Colin Moran,1B,292.7819644,190,,0.362794328,0.47178934,0.243727599,0.235772358,0.009835721,28,233
Maikel Franco,3B,235.1685083,239,,0.291487147,0.346403381,0.307565789,0.315447154,0.009796392,37,234
Rafael Ortega,OF,256.7346471,189,906,0.446171012,0.393338441,0.237847222,0.234146341,0.009773569,76,235
Eric Haase,C,167.4,235,328.4,0.354813665,0.198916666,0.435406699,0.308943089,0.00949391,36,236
Nick Ahmed,SS,249.8720027,180,642.2,0.461522344,0.378403054,0.242857143,0.219512195,0.009310155,32,237
Jeremy Pena,SS,266.0567624,168,113.7,0.483976494,0.413626451,0.221428571,0.2,0.008865357,28,238
Donovan Solano,2B,239.3980962,179,903.5,0.413247566,0.355608365,0.253308129,0.217886179,0.008110751,33,239
Anthony Rendon,3B,275.4006964,179,215.3,0.40276625,0.433961945,0.208881579,0.217886179,0.007954897,29,240
Akil Baddoo,OF,235.74066,196,464.4,0.372368885,0.347648573,0.25,0.245528455,0.00794613,93,241
Leury Garcia,2B,215.3206765,205,1086.3,0.321498038,0.303207927,0.302457467,0.260162602,0.007670577,41,242
Victor Robles,OF,224.5918298,204,414.3,0.333176359,0.323385026,0.263888889,0.258536585,0.007350844,104,243
Santiago Espinal,3B,256.4613667,189,463.2,0.350381538,0.392743692,0.225328947,0.234146341,0.007260304,33,244
Odubel Herrera,OF,236.1715478,184,,0.373883626,0.348586327,0.229166667,0.22601626,0.006750531,92,245
Tucker Barnhart,C,206.8,157,769.3,0.507763975,0.284664113,0.248803828,0.182113821,0.006549295,21,246
Frank Schwindel,1B,284.4008488,170,,0.335688389,0.453549257,0.207885305,0.203252033,0.006433088,33,247
Kevin Pillar,OF,236.3271506,178,,0.37443063,0.348924971,0.21875,0.216260163,0.006180563,91,248
Austin Nola,C,171.2,191,451.2,0.369565217,0.207186725,0.330143541,0.237398374,0.006001137,34,249
Gavin Sheets,OF,242.7230165,170,486.3,0.396914616,0.362844493,0.204861111,0.203252033,0.005996696,85,250
Abraham Toro,3B,218.0973202,217,770.2,0.244269568,0.309250823,0.271381579,0.279674797,0.005733422,40,251
Max Stassi,C,160.2,203,573.6,0.326863354,0.183247082,0.358851675,0.256910569,0.005522049,38,252
Keston Hiura,1B,246.0757061,205,751.8,0.211738424,0.370141056,0.270609319,0.260162602,0.005517655,35,253
Alex Dickerson,OF,248.6942014,160,,0.417905681,0.375839768,0.1875,0.18699187,0.005506872,81,254
Aledmys Diaz,3B,241.9765253,184,477.3,0.310317593,0.361219881,0.217105263,0.22601626,0.005500322,35,255
Steven Kwan,OF,241.0690057,166,113.2,0.391100117,0.359244817,0.197916667,0.196747967,0.005471055,86,256
Jose Trevino,C,177.6,175,412.4,0.394409938,0.221115244,0.291866029,0.211382114,0.005380447,30,257
Victor Caratini,C,175.2,177,650.8,0.385093168,0.215892049,0.296650718,0.214634146,0.005293546,33,258
Jake Fraley,OF,239.3905231,164,258.3,0.38519959,0.355591884,0.194444444,0.193495935,0.005153533,87,259
Yadiel Hernandez,OF,232.9419473,169,979,0.362530309,0.341557647,0.203125,0.201626016,0.005071288,96,260
Connor Joe,OF,238.9791912,163,779.3,0.383753597,0.354696689,0.192708333,0.191869919,0.005032885,88,261
Victor Reyes,OF,221.1454885,180,1105.3,0.321061114,0.315884647,0.222222222,0.219512195,0.004947233,107,262
Nick Gordon,OF,234.3178167,166,313.2,0.367367031,0.344551995,0.197916667,0.196747967,0.004928872,94,263
Chad Pinder,OF,221.3300498,176,929.8,0.321709919,0.316286313,0.215277778,0.21300813,0.004665952,106,264
Adley Rutschman,C,223.8,129,94.4,0.573757764,0.321661743,0.181818182,0.136585366,0.004583207,11,265
Austin Barnes,C,190.2,152,677,0.443322981,0.248537016,0.236842105,0.17398374,0.004540241,26,266
Jesus Sanchez,OF,227.0659092,168,462,0.341873722,0.328769443,0.201388889,0.2,0.004527127,100,267
Hanser Alberto,2B,235.4967786,147,,0.398381187,0.347117806,0.192816635,0.165853659,0.00442227,36,268
Jed Lowrie,2B,209.812155,172,,0.300507241,0.29121956,0.240075614,0.206504065,0.004338625,44,269
Brett Phillips,OF,204.0979476,193,,0.261132298,0.278783552,0.244791667,0.240650407,0.004288555,124,270
Michael Chavis,2B,205.4791115,177,1031.3,0.283995725,0.281789422,0.24952741,0.214634146,0.004286014,45,271
Oneil Cruz,SS,258.8840673,132,77.5,0.47435775,0.398016291,0.157142857,0.141463415,0.004197064,30,272
Justin Upton,OF,224.592637,166,,0.333179197,0.323386783,0.197916667,0.196747967,0.004195587,103,273
Brandon Marsh,OF,215.3802364,176,281.9,0.300793983,0.303337549,0.215277778,0.21300813,0.004183991,112,274
Lars Nootbaar,OF,245.4333328,148,178,0.406442445,0.368743039,0.166666667,0.167479675,0.004183442,84,275
Harold Castro,2B,202.1903696,176,843.3,0.27146363,0.274632031,0.247637051,0.21300813,0.003932554,47,276
Jordan Luplow,OF,237.2700123,151,988.7,0.377745161,0.35097695,0.171875,0.172357724,0.003927543,90,277
Jason Heyward,OF,232.156372,155,630.5,0.359768703,0.339847975,0.178819444,0.178861789,0.003910573,97,278
Luis Garcia,2B,198.5985864,178,173.9,0.257776764,0.266815122,0.251417769,0.216260163,0.003739613,49,279
Luis Garcia,2B,198.5985864,178,310.3,0.257776764,0.266815122,0.251417769,0.216260163,0.003739613,50,280
Luis Garcia,2B,198.5985864,178,516.3,0.257776764,0.266815122,0.251417769,0.216260163,0.003739613,51,281
Yonathan Daza,OF,232.0521733,152,503,0.359402403,0.339621204,0.173611111,0.17398374,0.003686905,98,282
Mike Moustakas,3B,237.2139428,162,564.3,0.29714466,0.350854924,0.180921053,0.190243902,0.003588355,36,283
Tommy La Stella,2B,214.1323237,155,907.3,0.316969696,0.300621678,0.207939509,0.178861789,0.003543991,42,284
Edmundo Sosa,SS,244.4994814,131,584,0.441171141,0.366710669,0.155357143,0.139837398,0.003514675,33,285
Mitch Garver,C,178.4,150,420,0.397515528,0.222856309,0.232057416,0.170731707,0.003509851,28,286
Sam Hilliard,OF,215.1639196,164,1006.7,0.300033545,0.302866772,0.194444444,0.193495935,0.003418919,113,287
Cal Raleigh,C,169,158,211.7,0.361024845,0.202398796,0.251196172,0.183739837,0.003372573,35,288
Bryan De La Cruz,OF,238.9037256,140,269.1,0.383488306,0.354532451,0.152777778,0.154471545,0.003208609,89,289
Luis Torrens,C,178,144,922.3,0.395962733,0.221985776,0.217703349,0.16097561,0.003080383,29,290
Niko Goodrum,SS,227.8568243,146,,0.297389957,0.330490736,0.182142857,0.164227642,0.002939977,36,291
David Bote,2B,199.9276061,160,1057.7,0.262841133,0.269707508,0.217391304,0.18699187,0.002881717,48,292
Leody Taveras,OF,204.4354562,163,340.8,0.262318774,0.279518083,0.192708333,0.191869919,0.002711107,123,293
Christian Arroyo,2B,204.2118515,151,481.6,0.279166699,0.279031445,0.200378072,0.172357724,0.002690281,46,294
William Contreras,C,149.6,169,160.9,0.285714286,0.160177972,0.277511962,0.201626016,0.002560725,44,295
Taylor Walls,SS,225.7746737,139,723.6,0.291249894,0.325959286,0.169642857,0.152845528,0.0024616,37,296
Mauricio Dubon,2B,195.3924126,157,848.8,0.245559304,0.259837426,0.211720227,0.182113821,0.00246016,53,297
Jake McCarthy,OF,213.4053158,147,114.7,0.29385136,0.299039468,0.164930556,0.165853659,0.002403712,116,298
Francisco Mejia,C,176.2,134,488.6,0.388975155,0.21806838,0.193779904,0.144715447,0.002378692,31,299
Pedro Severino,C,176.2,134,992.3,0.388975155,0.21806838,0.193779904,0.144715447,0.002378692,32,300
Orlando Arcia,OF,221.8695706,139,588.8,0.323606547,0.317460489,0.151041667,0.152845528,0.002371682,105,301
Adam Engel,OF,213.9497532,143,958.7,0.295765272,0.300224344,0.157986111,0.159349593,0.00223544,115,302
Isaac Paredes,3B,233.8233018,140,313.7,0.287766411,0.343475767,0.144736842,0.154471545,0.002209855,38,303
Aristides Aquino,OF,211.8550108,144,1067.7,0.288401428,0.295665491,0.159722222,0.16097561,0.002192419,118,304
Adalberto Mondesi,3B,217.7745565,153,244.8,0.243376829,0.308548382,0.166118421,0.175609756,0.00219063,42,305
Mike Brosseau,2B,225.4500824,123,1012.3,0.3600972,0.325252868,0.147448015,0.126829268,0.002190278,40,306
Trayce Thompson,OF,256.1212475,115,395.1,0.444014671,0.39200348,0.109375,0.113821138,0.002166847,78,307
Ryan Jeffers,C,155.6,151,512.8,0.309006211,0.173235959,0.234449761,0.172357724,0.002163146,42,308
Bryson Stott,SS,228.4295003,129,246,0.304493884,0.331737068,0.151785714,0.136585366,0.002094149,35,309
Jose Miranda,3B,250.5351782,127,169,0.333990161,0.379846344,0.123355263,0.133333333,0.002086594,34,310
Sergio Alcantara,SS,229.0983505,121,,0.337546039,0.333192708,0.1375,0.123577236,0.00191104,34,311
MJ Melendez,C,159.6,139,151.4,0.324534161,0.181941283,0.205741627,0.152845528,0.001856806,40,312
Marwin Gonzalez,2B,184.9768482,155,,0.205869706,0.237169708,0.207939509,0.178861789,0.00181596,57,313
Yoshi Tsutsugo,1B,229.6011173,158,,0.158456829,0.334286895,0.186379928,0.183739837,0.001813981,40,314
Jarred Kelenic,OF,194.3475731,153,261,0.226855895,0.257563509,0.175347222,0.175609756,0.00179921,134,315
Kyle Lewis,OF,218.6200325,128,578.7,0.312183142,0.310388418,0.131944444,0.13495935,0.001725476,108,316
Seiya Suzuki,OF,224.8952434,123,136.5,0.334242978,0.324045355,0.123263889,0.126829268,0.001693259,102,317
Christopher Morel,OF,216.6815312,128,313,0.305368547,0.306169597,0.131944444,0.13495935,0.00166487,111,318
Francisco Mejia,C,144.6,149,488.6,0.266304348,0.149296316,0.229665072,0.169105691,0.001544118,46,319
Pedro Severino,C,144.6,149,992.3,0.266304348,0.149296316,0.229665072,0.169105691,0.001544118,47,320
Owen Miller,2B,180.3229121,153,903,0.188135395,0.227041202,0.20415879,0.175609756,0.001531412,60,321
Bradley Zimmer,OF,199.4298375,139,,0.244722054,0.268624199,0.151041667,0.152845528,0.001517636,127,322
Nick Senzel,OF,205.1102178,132,436.4,0.264690826,0.280986588,0.138888889,0.141463415,0.001461289,122,323
Brendan Donovan,2B,211.6462289,116,278.3,0.307496171,0.295211112,0.134215501,0.115447154,0.00140656,43,324
Andrew Velazquez,SS,200.6768597,131,1082,0.232090441,0.271338132,0.155357143,0.139837398,0.001368115,41,325
Kyle Higashioka,C,141,148,598,0.252329193,0.141461524,0.227272727,0.167479675,0.001358674,48,326
Jorge Alfaro,C,127.4,170,622.8,0.199534161,0.111863421,0.279904306,0.203252033,0.001269842,52,327
Josh VanMeter,2B,195.3605234,125,,0.245437786,0.259768024,0.151228733,0.130081301,0.001254227,54,328
Lorenzo Cain,OF,196.6528444,132,,0.234959831,0.262580543,0.138888889,0.141463415,0.001212182,129,329
Guillermo Heredia,OF,218.2423508,114,,0.310855442,0.309566458,0.107638889,0.112195122,0.001162132,109,330
Jackson Frazier,OF,226.193186,109,,0.338805757,0.326870108,0.098958333,0.104065041,0.001140468,101,331
Alcides Escobar,SS,219.7636614,109,,0.285933916,0.312877333,0.116071429,0.104065041,0.001080612,38,332
Emmanuel Rivera,3B,217.9040794,120,803.3,0.243735079,0.308830267,0.111842105,0.12195122,0.001026666,41,333
Phil Gosselin,3B,197.0388711,135,,0.186023536,0.263420664,0.136513158,0.146341463,0.000978948,45,334
Keibert Ruiz,C,160.2,113,233.4,0.326863354,0.183247082,0.14354067,0.110569106,0.000950631,39,335
Jo Adell,OF,188.5165001,129,561,0.206357378,0.244873163,0.133680556,0.136585366,0.000922643,142,336
Geraldo Perdomo,SS,198.1790701,118,852,0.22091969,0.265902115,0.132142857,0.118699187,0.000921399,42,337
Stephen Piscotty,OF,191.7311935,124,,0.217658291,0.2518694,0.125,0.128455285,0.000880263,138,338
Jack Suwinski,OF,212.1840866,106,451.1,0.289558259,0.296381668,0.09375,0.099186992,0.000798019,117,339
Ryan O'Hearn,1B,231.7640489,119,,0.165452114,0.33899415,0.116487455,0.120325203,0.000786141,38,340
Franchy Cordero,OF,194.7220676,117,1055.7,0.22817239,0.258378533,0.112847222,0.117073171,0.000778875,133,341
Yu Chang,3B,200.658236,121,,0.196034418,0.271297601,0.113486842,0.123577236,0.000745869,43,342
Trevor Larnach,OF,201.3571567,110,665.8,0.25149734,0.272818684,0.100694444,0.105691057,0.000730216,125,343
Jose Siri,OF,184.2164521,124,291.4,0.191241017,0.235514835,0.125,0.128455285,0.000723205,148,344
Steven Duggar,OF,190.1496299,118,,0.212098472,0.248427394,0.114583333,0.118699187,0.000716649,140,345
Matt Vierling,OF,205.1231544,107,540,0.264736304,0.281014742,0.095486111,0.100813008,0.000716142,121,346
Lewis Brinson,OF,195.6936002,113,,0.23158771,0.260492909,0.105902778,0.110569106,0.000706403,131,347
Sam Haggerty,OF,192.0735889,115,840.3,0.218861945,0.252614566,0.109375,0.113821138,0.000688287,136,348
Andrelton Simmons,SS,188.2342555,122,,0.158096996,0.244258905,0.139285714,0.125203252,0.000673436,43,349
Oscar Gonzalez,OF,228.1041612,94,191.5,0.345523587,0.331029023,0.072916667,0.079674797,0.000664495,99,350
Edward Olivares,OF,213.9774546,100,364.3,0.295862653,0.300284631,0.083333333,0.089430894,0.000662109,114,351
Oscar Mercado,OF,190.0518958,114,,0.211754898,0.248214693,0.107638889,0.112195122,0.000634752,141,352
Matt Duffy,3B,194.7943692,120,,0.179815418,0.258535885,0.111842105,0.12195122,0.000634073,46,353
Zach McKinstry,2B,191.8941038,104,842.5,0.232228632,0.252223947,0.111531191,0.095934959,0.000626723,55,354
Kurt Suzuki,C,155.8,103,,0.309782609,0.173671225,0.119617225,0.094308943,0.00060692,41,355
Nick Fortes,C,163.8,97,398,0.340838509,0.191081874,0.105263158,0.084552846,0.000579659,37,356
Rob Refsnyder,OF,217.5713739,94,822,0.308496694,0.30810619,0.072916667,0.079674797,0.000552203,110,357
Jake Cave,OF,186.6584535,111,,0.199825613,0.240829438,0.102430556,0.107317073,0.000529004,143,358
Nolan Gorman,3B,230.8734593,94,415,0.279607376,0.337055932,0.069078947,0.079674797,0.000518701,39,359
Alex Kirilloff,1B,233.6621438,104,300.3,0.171590872,0.343125033,0.089605735,0.095934959,0.000506127,37,360
Matt Beaty,1B,230.1207056,106,,0.160137265,0.335417691,0.093189964,0.099186992,0.000496481,39,361
Jake Lamb,OF,207.8944466,93,,0.274478486,0.287045991,0.071180556,0.07804878,0.000437711,119,362
Kyle Isbel,OF,193.9014026,100,380.1,0.22528743,0.256592494,0.083333333,0.089430894,0.000430811,135,363
Travis Shaw,3B,192.987927,108,,0.174818939,0.254604469,0.092105263,0.102439024,0.000419957,47,364
Rodolfo Castro,2B,195.7399012,90,425.5,0.246883445,0.260593676,0.085066163,0.073170732,0.000400452,52,365
Ehire Adrianza,OF,198.7568885,95,,0.242356374,0.267159639,0.074652778,0.081300813,0.000392976,128,366
Curt Casali,C,124.8,119,755,0.189440994,0.10620496,0.157894737,0.120325203,0.000382246,54,367
Tyler Wade,3B,168.7143633,128,1060.7,0.10768015,0.201777156,0.125,0.13495935,0.000366539,50,368
Tom Murphy,C,154.8,91,694,0.305900621,0.171494894,0.090909091,0.074796748,0.000356715,43,369
Nomar Mazara,OF,185.8959493,99,,0.197145111,0.239169977,0.081597222,0.087804878,0.000337821,146,370
Nick Madrigal,2B,170.4942039,104,601.3,0.150682074,0.205650679,0.111531191,0.095934959,0.000331562,61,371
Riley Greene,OF,192.0651947,94,185.2,0.218832436,0.252596298,0.072916667,0.079674797,0.000321134,137,372
Tomas Nido,C,127.4,107,861.5,0.199534161,0.111863421,0.129186603,0.100813008,0.000290696,53,373
Willie Calhoun,OF,205.6731417,85,1108.7,0.266669725,0.282211696,0.057291667,0.06504065,0.00028043,120,374
Kevin Plawecki,C,149,89,938,0.283385093,0.158872173,0.086124402,0.071544715,0.000277414,45,375
Andy Ibanez,2B,182.8477187,89,,0.197756435,0.232536018,0.083175803,0.071544715,0.00027365,58,376
Jack Mayfield,3B,176.7798512,108,,0.129988662,0.219330329,0.092105263,0.102439024,0.000269001,49,377
Danny Mendick,2B,170.4167333,97,1008.3,0.150386864,0.205482077,0.098298677,0.084552846,0.000256838,62,378
Stephen Vogt,C,115.4,119,,0.152950311,0.085747447,0.157894737,0.120325203,0.00024917,61,379
Kyle Garlick,OF,195.8686233,86,1028.3,0.232202985,0.260873818,0.059027778,0.066666667,0.000238377,130,380
Jake Marisnick,OF,200.2257354,84,,0.247519949,0.270356337,0.055555556,0.063414634,0.000235757,126,381
Luis Guillorme,3B,199.5153614,89,951.5,0.192873315,0.268810327,0.060855263,0.071544715,0.000225732,44,382
Joey Bart,C,131.8,96,351.1,0.216614907,0.121439278,0.102870813,0.082926829,0.000224406,50,383
Charlie Culberson,3B,187.7059573,95,,0.160209422,0.243109153,0.070723684,0.081300813,0.000223949,48,384
Alek Thomas,OF,176.0077751,96,334.6,0.162384287,0.217650035,0.076388889,0.082926829,0.000223887,152,385
Luis Gonzalez,OF,194.917053,84,891,0.228857841,0.258802886,0.055555556,0.063414634,0.000208666,132,386
Jake Meyers,OF,182.4708468,90,908.5,0.185104528,0.23171582,0.065972222,0.073170732,0.000207048,149,387
Juan Lagares,OF,184.7946185,88,,0.1932735,0.236773116,0.0625,0.069918699,0.000199976,147,388
Eli White,OF,163.1125278,101,1039.3,0.117052418,0.189585707,0.085069444,0.091056911,0.000171899,157,389
Manny Pina,C,135,87,872.3,0.229037267,0.128403537,0.081339713,0.068292683,0.000163365,49,390
Miguel Andujar,OF,186.469763,83,809.3,0.199162292,0.240418785,0.053819444,0.061788618,0.000159229,144,391
Bobby Bradley,1B,210.0226756,94,,0.095136852,0.291677722,0.071684588,0.079674797,0.000158489,43,392
Diego Castillo,SS,218.6489308,69,468.9,0.284253123,0.31045131,0.044642857,0.03902439,0.00015374,39,393
Austin Hedges,C,96.2,156,811.8,0.078416149,0.043961889,0.246411483,0.180487805,0.000153317,65,394
Taylor Trammell,OF,186.3528952,82,1036.3,0.198751455,0.240164442,0.052083333,0.060162602,0.00014957,145,395
Tim Locastro,OF,179.5554197,84,,0.174855654,0.225370885,0.055555556,0.063414634,0.000138834,150,396
Diego Castillo,SS,218.6489308,69,1012,0.242853495,0.31045131,0.044642857,0.03902439,0.000131349,40,397
Robinson Chirinos,C,131.6,82,952.3,0.215838509,0.121004011,0.06937799,0.060162602,0.000109013,51,398
Robinson Cano,2B,180.9879396,73,,0.190669552,0.228488522,0.052930057,0.045528455,0.000104986,59,399
Billy McKinney,OF,179.3407732,79,,0.174101087,0.224903743,0.046875,0.055284553,0.000101471,151,400
Christian Bethancourt,C,119,89,401.7,0.166925466,0.093582239,0.086124402,0.071544715,9.63E-05,58,401
Nick Allen,SS,169.0317123,57,807.3,1.046801611,0.202467813,0.023214286,0.019512195,9.60E-05,45,402
Andrew Knizner,C,117.2,90,809.5,0.159937888,0.089664843,0.088516746,0.073170732,9.29E-05,60,403
Jarren Duran,OF,169.83221,81,552.5,0.140674745,0.204209961,0.050347222,0.058536585,8.47E-05,154,404
Vinnie Pasquantino,1B,293.8366723,62,91.7,0.366205431,0.474084734,0.014336918,0.027642276,6.88E-05,27,405
Ryan McKenna,OF,174.7618092,75,,0.158004226,0.214938401,0.039930556,0.048780488,6.62E-05,153,406
Jason Castro,C,120.4,81,,0.172360248,0.096629103,0.066985646,0.058536585,6.53E-05,57,407
Juan Yepez,1B,235.8582006,69,370.9,0.17869329,0.34790438,0.02688172,0.03902439,6.52E-05,36,408
Spencer Torkelson,1B,213.4759211,74,263.4,0.106305229,0.299193128,0.035842294,0.047154472,5.38E-05,42,409
Alfonso Rivas,1B,216.8031343,72,981,0.117065997,0.306434246,0.032258065,0.043902439,5.08E-05,41,410
Magneuris Sierra,OF,155.9756405,80,,0.09196345,0.174053477,0.048611111,0.056910569,4.43E-05,159,411
Gilberto Celestino,OF,168.4289471,72,1081.7,0.135741724,0.201155996,0.034722222,0.043902439,4.16E-05,156,412
Roman Quinn,OF,159.9740121,75,,0.1060193,0.182755258,0.039930556,0.048780488,3.77E-05,158,413
Michael Perez,C,96.2,99,,0.078416149,0.043961889,0.110047847,0.087804878,3.33E-05,66,414
Seby Zavala,C,108.2,80,723,0.125,0.070077863,0.064593301,0.056910569,3.22E-05,63,415
Dom Nunez,C,109.2,79,,0.128881988,0.072254194,0.062200957,0.055284553,3.20E-05,62,416
Erik Gonzalez,3B,146.7546139,89,,0.046941191,0.15398547,0.060855263,0.071544715,3.15E-05,53,417
Brent Rooker,OF,191.5666433,63,,0.217079832,0.251511285,0.019097222,0.029268293,3.05E-05,139,418
CJ Abrams,SS,182.6507492,63,222.3,0.125762622,0.232107347,0.033928571,0.029268293,2.90E-05,44,419
Austin Wynns,C,119,71,,0.166925466,0.093582239,0.043062201,0.042276423,2.84E-05,59,420
Zack Collins,C,104,81,,0.108695652,0.060937272,0.066985646,0.058536585,2.60E-05,64,421
Ildemaro Vargas,3B,158.5035455,74,956.8,0.079437822,0.179555035,0.036184211,0.047154472,2.43E-05,52,422
Roberto Perez,C,122.2,68,826.7,0.179347826,0.100546499,0.035885167,0.037398374,2.42E-05,56,423
Wilmer Difo,2B,188.2755903,56,,0.218439908,0.244348864,0.020793951,0.017886179,1.99E-05,56,424
Willians Astudillo,3B,168.3688341,64,,0.106724443,0.20102517,0.019736842,0.030894309,1.31E-05,51,425
Derek Hill,OF,169.5058698,60,,0.139527531,0.203499736,0.013888889,0.024390244,9.62E-06,155,426
Cole Tucker,OF,149.0934554,64,,0.067769861,0.159075563,0.020833333,0.030894309,6.94E-06,160,427
Johan Camargo,2B,154.1627733,56,,0.088449448,0.170108078,0.020793951,0.017886179,5.60E-06,63,428
Matt Reynolds,3B,144.1921729,63,,0.039853678,0.148408749,0.018092105,0.029268293,3.13E-06,54,429
Reese McGuire,C,83,88,537.4,0.027173913,0.015234318,0.083732057,0.069918699,2.42E-06,69,430
Austin Romine,C,94.4,64,,0.071428571,0.040044493,0.026315789,0.030894309,2.33E-06,68,431
P.J. Higgins,C,95.6,60,890,0.076086957,0.04265609,0.016746411,0.024390244,1.33E-06,67,432
Riley Adams,C,123.8,54,861,0.185559006,0.104028629,0.002392344,0.014634146,6.76E-07,55,433
Ernie Clement,2B,133.8961549,53,,0.011221378,0.126001205,0.015122873,0.01300813,2.78E-07,65,434
Lewin Diaz,1B,180.6065043,71,1030,0,0.227658393,0.03046595,0.042276423,0,45,435
Mike Ford,1B,190.60212,54,,0.032327504,0.249412162,0,0.014634146,0,44,436
Sheldon Neuse,2B,130.9513786,75,1108.3,0,0.119592397,0.056710775,0.048780488,0,66,437
Josh Smith,2B,146.1244787,45,876,0.057818686,0.152614087,0,0,0,64,438
Vimael Machin,3B,129.7833518,54,992,0,0.117050383,0.003289474,0.014634146,0,56,439
Kelvin Gutierrez,3B,138.1006123,52,,0.023004896,0.135151496,0,0.011382114,0,55,440
Andrew Knapp,C,76,60,,0,0,0.016746411,0.024390244,0,71,441
Sandy Leon,C,79.2,53,,0.01242236,0.00696426,0,0.01300813,0,70,442
Yermin Mercedes,DH,80.83648828,88,,0,0.0105258,0,0.069918699,0,5,443
Cristian Pache,OF,129.8154257,52,914,0,0.117120187,0,0.011382114,0,161,444
Jose Barrero,SS,141.7291522,44,775.5,0.909497383,0.143048401,0,-0.001626016,0,46,445
