,Name,Model_Projection_Sum_of_HR_R_RBI_SB,Actual_Sum_of_HR_R_RBI_SB,ADP
0,Aaron Judge,414.2785977095382,628,3.1
1,Juan Soto,410.09225974079254,527,8.7
5,Bryce Harper,377.85547241151846,485,162.7
6,Mookie Betts,371.40001265388014,542,9.6
7,Kyle Tucker,362.7866631381828,544,7.2
8,Yordan Alvarez,362.13506533806697,467,10.3
9,Bryan Reynolds,349.04424654719685,433,75.2
10,Kyle Schwarber,345.6467229305589,496,43.7
11,Mike Trout,345.4409344091491,362,15.2
12,Teoscar Hernandez,342.1927627700172,520,62.2
13,George Springer,331.92634757312123,423,56.9
14,Starling Marte,328.19514562600995,455,71.5
15,Jesse Winker,328.1931111966543,354,233.6
16,Mark Canha,327.14904680245274,405,304.7
17,Ian Happ,326.4391477921648,401,146.6
18,Brandon Nimmo,326.05245648048145,337,151.5
19,Randy Arozarena,326.03494742206135,453,35.6
20,Nick Castellanos,325.5486727405523,455,116.1
21,Alex Verdugo,319.8737690051703,392,174.1
22,Hunter Renfroe,316.02862907202655,431,145
23,Mike Yastrzemski,315.07375027169064,413,284.1
24,Andrew McCutchen,314.36223546324027,431,296.8
25,Charlie Blackmon,312.1495537134414,409,248
26,Giancarlo Stanton,311.52681634846226,386,115.3
27,Anthony Santander,310.74069691469015,390,107.9
28,Christian Yelich,309.5248921159227,405,102.1
29,Byron Buxton,306.7527632663316,317,83.8
30,Joc Pederson,305.531078157485,334,216.8
31,Joey Gallo,303.55758505585925,389,327.9
35,Adolis Garcia,303.55508056447866,455,60.1
36,Tyler O'Neill,303.3828420242806,409,98.2
37,Randal Grichuk,303.1176069124683,404,255.6
38,Robbie Grossman,298.709044469847,358,492.2
42,Austin Hays,298.1363421356862,349,236.6
43,Jurickson Profar,295.5584576728856,321,289.8
44,Wil Myers,294.237897905209,314,248
45,Trent Grisham,292.07071178354363,374,285.1
46,Andrew Benintendi,291.57517435791954,285,208.6
50,David Peralta,291.3545809679782,300,400.6
54,Michael Brantley,288.77670460115525,237,322.5
55,Tommy Pham,287.73699210124926,363,311.5
59,Adam Duvall,287.7346248208589,393,295
60,Luis Robert,286.21664541497466,321,
61,Max Kepler,285.96366664298375,315,307.7
62,Jorge Soler,285.80932326899847,299,270.4
63,Eloy Jimenez,285.3553411760094,261,68.1
64,Taylor Ward,283.9036635512259,264,112
65,Dylan Carlson,283.2037732666949,306,288
66,Marcell Ozuna,282.2982344409662,303,280.8
67,Mitch Haniger,279.9624604248753,326,177.7
68,Darin Ruf,274.4805698065933,247,870
72,Seth Brown,274.17522490400427,279,228.6
73,Tyler Naquin,273.48456477725915,293,838.5
77,Andrew Vaughn,271.4093340879139,273,134.4
78,Avisail Garcia,269.4855687592925,307,306.6
79,Raimel Tapia,269.3171831001682,311,664.8
80,Garrett Cooper,269.0249743390661,215,345.2
81,Austin Meadows,267.00235245091017,274,253.1
82,Manuel Margot,266.2921195204261,272,269.7
83,Eddie Rosario,265.00790898673324,277,365.3
84,Harrison Bader,264.2166187769126,249,219.2
88,Josh Naylor,264.0530050446059,230,204.9
89,Cody Bellinger,263.7900689361184,340,199
90,Ben Gamel,263.38145473127554,208,951
91,Julio Rodriguez,262.34730362818823,212,5
92,Austin Slater,262.3152187422231,238,708.5
93,Tyrone Taylor,258.83601409633013,228,431.1
94,Myles Straw,257.71348053102344,315,357.4
95,Corey Dickerson,257.25322559291334,204,679.3
96,Lane Thomas,257.1791818462284,223,266.1
97,Rafael Ortega,256.7346470539662,189,906
98,Ramon Laureano,256.50596330998144,275,218.3
99,Trayce Thompson,256.12124752401076,115,395.1
103,Chas McCormick,254.8328132465924,224,418
104,Harold Ramirez,254.11831111167632,200,361.3
105,Alex Dickerson,248.69420135754632,160,
106,Aaron Hicks,248.11925628649527,202,522.2
107,Kole Calhoun,245.77662896758545,232,968.3
108,Lars Nootbaar,245.43333284225878,148,178
109,Gavin Sheets,242.7230165159367,170,486.3
110,Steven Kwan,241.06900567716855,166,113.2
111,Jake Fraley,239.3905230813221,164,258.3
112,Connor Joe,238.97919124338102,163,779.3
113,Bryan De La Cruz,238.90372560512975,140,269.1
114,Jordan Luplow,237.27001232438792,151,988.7
115,Kevin Pillar,236.32715056033604,178,
116,Odubel Herrera,236.1715478444815,184,
117,Akil Baddoo,235.74065996404678,196,464.4
118,Nick Gordon,234.31781667527343,166,313.2
119,Kevin Kiermaier,233.76694812227964,216,500.3
120,Yadiel Hernandez,232.94194733452542,169,979
121,Jason Heyward,232.15637202922227,155,630.5
122,Yonathan Daza,232.05217330433703,152,503
123,Oscar Gonzalez,228.10416118521476,94,191.5
124,Jesus Sanchez,227.06590917816442,168,462
125,Jackson Frazier,226.19318599431085,109,
126,Seiya Suzuki,224.89524339332456,123,136.5
127,Justin Upton,224.59263703341944,166,
128,Victor Robles,224.59182975670123,204,414.3
129,Orlando Arcia,221.86957057464724,139,588.8
130,Chad Pinder,221.33004980137846,176,929.8
131,Victor Reyes,221.14548853300255,180,"1,105.30"
132,Kyle Lewis,218.62003247598074,128,578.7
133,Guillermo Heredia,218.24235078219806,114,
134,Rob Refsnyder,217.57137391302135,94,822
135,Christopher Morel,216.68153124744757,128,313
136,Brandon Marsh,215.3802363638586,176,281.9
140,Sam Hilliard,215.16391960209586,164,"1,006.70"
141,Edward Olivares,213.97745458864247,100,364.3
142,Adam Engel,213.949753166196,143,958.7
143,Jake McCarthy,213.4053157619233,147,114.7
144,Jack Suwinski,212.18408655018476,106,451.1
145,Aristides Aquino,211.85501079772348,144,"1,067.70"
146,Jake Lamb,207.89444660415828,93,
150,Willie Calhoun,205.6731416547509,85,"1,108.70"
154,Matt Vierling,205.12315441310366,107,540
155,Nick Senzel,205.11021775867232,132,436.4
156,Leody Taveras,204.4354562128234,163,340.8
157,Brett Phillips,204.09794759118657,193,
161,Trevor Larnach,201.3571566762784,110,665.8
162,Jake Marisnick,200.22573544163788,84,
163,Bradley Zimmer,199.42983753295923,139,
167,Ehire Adrianza,198.7568884855254,95,
171,Lorenzo Cain,196.6528444059339,132,
172,Kyle Garlick,195.86862334404825,86,"1,028.30"
173,Lewis Brinson,195.69360016845232,113,
174,Luis Gonzalez,194.91705304523313,84,891
175,Franchy Cordero,194.72206757251084,117,"1,055.70"
176,Jarred Kelenic,194.3475730782515,153,261
177,Kyle Isbel,193.90140264965927,100,380.1
178,Sam Haggerty,192.07358889168577,115,840.3
179,Riley Greene,192.06519471858348,94,185.2
180,Stephen Piscotty,191.73119351592067,124,
181,Brent Rooker,191.56664330691686,63,
185,Steven Duggar,190.14962986872547,118,
194,Oscar Mercado,190.05189579614103,114,
198,Jo Adell,188.5165001355706,129,561
199,Jake Cave,186.6584534598271,111,
200,Miguel Andujar,186.46976298902214,83,809.3
204,Taylor Trammell,186.35289515997783,82,"1,036.30"
205,Nomar Mazara,185.89594926882904,99,
206,Juan Lagares,184.79461852925866,88,
207,Jose Siri,184.21645208728555,124,291.4
211,Jake Meyers,182.47084680044784,90,908.5
212,Tim Locastro,179.5554197426761,84,
213,Billy McKinney,179.34077317791017,79,
214,Alek Thomas,176.00777514474174,96,334.6
215,Ryan McKenna,174.7618091587636,75,
216,Jarren Duran,169.83220999962566,81,552.5
217,Derek Hill,169.5058697793759,60,
218,Gilberto Celestino,168.42894712270552,72,"1,081.70"
219,Eli White,163.1125278170374,101,"1,039.30"
220,Roman Quinn,159.97401213084197,75,
224,Magneuris Sierra,155.9756404994375,80,
225,Cole Tucker,149.0934553715626,64,
226,Cristian Pache,129.8154257217389,52,914
