,Name,Model_Projection_Sum_of_ERA_WHIP,Actual_Sum_of_ERA_WHIP,ADP
17121,Jordan Holloway,2.710143940429333,1.96,
17120,Matthew Boyd,2.834571243441969,2.33,442.0
17119,Zach Eflin,2.8636473606986623,1.45,340.8
17118,Zack Thompson,2.9052025538504753,1.75,
17117,Jeremy Jeffress,2.9086864742542105,2.48,
17116,Nick Anderson,2.919800048515812,2.24,
17115,Tejay Antone,2.9926923743714378,2.8499999999999996,683.0
17114,Brad Wieck,3.0731942989678656,2.2199999999999998,
17113,Drew Pomeranz,3.075819177245861,2.7,
17112,Jimmy Nelson,3.1077139922018873,2.86,
17111,Emmanuel Clase,3.1211842114687682,2.17,38.8
17110,Evan Phillips,3.158562673128243,3.05,231.2
17109,Trevor Rosenthal,3.1588834754865713,2.75,
17108,Felix Bautista,3.2536513388827517,3.12,91.0
17107,Jesse Hahn,3.2943585266316084,3.63,
17106,Liam Hendriks,3.314034012725701,3.3499999999999996,244.4
17105,Keegan Thompson,3.316950009421961,3.05,479.0
17104,Daniel Castano,3.326856187786466,1.73,
17103,Alexis Diaz,3.3349164503721926,2.8,156.8
17102,Matt Gage,3.3403506410995503,2.3,
17101,Edwin Diaz,3.3453805321907852,3.27,35.8
17100,Jordan Romano,3.347292795672371,3.05,67.6
17099,Garrett Whitlock,3.3477133883783035,3.2300000000000004,284.8
17098,Devin Williams,3.352060440662666,2.84,59.6
17097,Tyler Anderson,3.354551814546297,2.86,214.2
17096,Matt Brash,3.357519114410483,3.59,439.0
17095,Casey Sadler,3.3581193002051744,3.05,
17094,Mark Appel,3.3647258024430142,2.9,
17093,Jhonathan Diaz,3.387791398916443,3.18,
17092,Kyle Tyler,3.408184226783947,3.24,
17091,Spencer Strider,3.413296821747741,3.41,34.8
17090,Peter Solomon,3.4409803389543994,2.58,
17089,Ryan Weathers,3.4501463041450027,3.4800000000000004,
17088,Jhoan Duran,3.4764894934899937,2.84,154.8
17087,J.P. Feyereisen,3.4816883906407177,3.4699999999999998,843.0
17086,Ron Marinaccio,3.485975863837395,3.0999999999999996,712.0
17085,Justin Steele,3.5136730953660704,3.08,305.8
17084,Jason Adam,3.5150065189450905,3.28,295.8
17083,Adrian Houser,3.5157421172364742,2.1,676.0
17082,Tommy Kahnle,3.5196197078961267,3.36,696.5
17081,Luis Perdomo,3.536760582404881,3.2,
17080,Huascar Ynoa,3.536760582404881,3.2,685.5
17079,Brock Burke,3.539171015729478,3.0300000000000002,474.6
17078,Garrett Crochet,3.5408534697364162,3.73,773.5
17077,Josh Hader,3.5554015448969443,4.2,53.4
17076,JP Sears,3.557927601288976,3.41,434.0
17075,Jay Jackson,3.5582570620200102,3.48,
17074,A.J. Minter,3.5716677447925047,3.56,316.0
17073,Travis Bergen,3.5747739571553634,4.0,
17072,Ryan Helsley,3.581792746007698,3.96,89.4
17071,Adam Conley,3.5832302866946515,3.31,
17070,Reynaldo Lopez,3.6047878401719675,3.57,499.3
17069,Blake Treinen,3.6107861183438947,3.46,498.5
17068,Triston McKenzie,3.622995003290825,3.5599999999999996,88.8
17067,JT Chargois,3.6291459444813388,3.2800000000000002,
17066,Raisel Iglesias,3.6385682087198146,3.4899999999999998,78.4
17065,Andrew Chafin,3.6398732588331395,3.67,526.0
17064,Johan Oviedo,3.6423422737770896,3.2,564.0
17063,Adbert Alzolay,3.6431264863041717,3.08,454.5
17062,Paul Sewald,3.651853433172837,4.31,181.2
17061,Zach Jackson,3.654614015937115,4.27,656.5
17060,Nick Sandlin,3.6598124809506043,3.6999999999999997,
17059,Seranthony Dominguez,3.6633816647575506,4.0600000000000005,276.0
17058,Giovanny Gallegos,3.6690520409803957,4.02,280.2
17057,Nick Tropeano,3.675525325534529,2.75,
17056,Angel De Jesus,3.6855853191406514,3.16,
17055,Alex Vesia,3.6897315107837967,4.08,542.3
17054,Victor Gonzalez,3.7132197967436897,3.84,
17053,Connor Overton,3.7186446150085066,3.59,
17052,Jonathan Loaisiga,3.7282583756958037,4.18,452.2
17051,Pete Fairbanks,3.735910161506308,4.02,193.6
17050,Jose Cisnero,3.7406039020536994,4.22,
17049,Andrew Kittredge,3.7517315126693855,2.9899999999999998,543.5
17048,John Schreiber,3.7586879018360047,4.109999999999999,404.0
17047,Richard Rodriguez,3.758926477807821,3.7800000000000002,
17046,Ryne Stanek,3.764701320712851,4.04,687.0
17045,Eduard Bazardo,3.766302611240789,3.31,
17044,Robert Suarez,3.7736656642201885,3.3200000000000003,374.2
17043,Anthony Bender,3.77503972431606,4.07,
17042,Ranger Suarez,3.775466558685411,3.95,246.0
17041,Jordan Sheffield,3.776598387707912,4.3100000000000005,
17040,Drew Steckenrider,3.7937180996541877,3.79,
17039,Adam Cimber,3.794210048515545,3.75,577.0
17038,Jose Suarez,3.800424377531249,2.97,351.5
17037,James Karinchak,3.8023107892136054,4.27,372.0
17036,Clay Holmes,3.8120811069338743,4.17,131.4
17035,David Peterson,3.8229519207460023,4.12,356.0
17034,Jake Cousins,3.8292551233565915,3.92,
17033,Dylan Lee,3.8306882146144607,3.4000000000000004,
16936,Chris Flexen,3.8401402652115872,2.64,550.5
16935,Jovani Moran,3.8427779344032134,4.35,837.0
16838,Paolo Espino,3.8496555403469466,3.6500000000000004,879.0
16837,Dylan Floro,3.853328717818792,4.03,288.4
16740,Matt Moore,3.8638469776503377,3.76,731.0
16739,Collin McHugh,3.8646128797208115,3.2699999999999996,513.5
16642,Ronny Henriquez,3.8692828820254497,3.25,
16641,John Gant,3.875966407414491,3.71,
16640,Andres Munoz,3.8783406700392207,3.3800000000000003,170.8
16639,Cionel Perez,3.879704127356543,4.24,803.0
16638,Michael King,3.883609082523621,3.9699999999999998,457.4
16637,Ryan Pressly,3.8862322528280906,3.7,73.4
16636,Kent Emanuel,3.886406553586734,3.46,
16635,Juan Minaya,3.890859205968786,4.29,
16634,David Bednar,3.8953063761771904,3.75,140.8
16345,Dylan Coleman,3.904867277496929,3.87,623.0
16248,Tanner Houck,3.9118333336343465,3.8200000000000003,386.2
16151,Reiss Knehr,3.916116255154965,4.6899999999999995,
15958,Drew Smyly,3.9229825806499847,2.82,417.0
15957,Blake Taylor,3.924646513989277,4.45,
15860,Tyler Matzek,3.9258997268037046,4.14,
15859,Steven Wilson,3.9294340720075662,4.2,
15858,Penn Murfee,3.931922997920402,4.02,874.0
15857,Caleb Thielbar,3.9339647691331896,4.37,851.5
15760,Erasmo Ramirez,3.937985704503836,4.0,
15759,Dillon Maples,3.939057277376358,4.45,
15758,Alex Lange,3.9392602581562923,4.38,267.0
15757,Erik Swanson,3.9392602581562923,4.38,448.4
15660,Jose Leclerc,3.9451871612793497,4.07,208.8
15659,Jonathan Hernandez,3.947425896512569,4.15,551.7
15658,Scott Barlow,3.948490586692542,3.7300000000000004,151.4
15657,Bryan Baker,3.9499893983347176,4.46,814.0
15656,Kris Bubic,3.9501751053648784,4.57,654.5
15655,Jose Alvarez,3.9505147543410364,3.8600000000000003,
15462,Caleb Baragar,3.958184232226386,4.01,
15269,Caleb Ferguson,3.9708613738853016,3.4299999999999997,"1,006.0"
15268,Luis Patino,3.971745566232386,4.91,527.3
15171,Aaron Bummer,3.9752918629966882,4.23,
15170,Jarlin Garcia,3.9790001300917988,3.91,
15169,Tim Mayza,3.980292593266064,4.32,
14976,Yimi Garcia,3.983395878932339,4.38,693.0
14975,Jordan Lyles,3.9881555031517357,4.74,490.5
14878,Chad Green,3.9906395263351317,4.09,681.5
14685,Colin Holderman,3.9952540428159913,5.01,
14588,Daulton Jefferies,3.9989788916395774,3.6,
14491,Jorge Lopez,4.000596094716709,4.33,251.0
14394,Andre Pallante,4.0030858915490635,3.77,785.0
14201,Alex Reyes,4.00784535193022,4.609999999999999,522.0
14104,Corbin Burnes,4.008475283986246,4.66,14.8
14103,Jimmy Herget,4.008723193599798,4.21,374.2
13814,Peter Strzelecki,4.017215724305893,4.0600000000000005,
13717,Brad Boxberger,4.021900292162502,4.31,490.0
13716,Scott Effross,4.022864602964496,3.8600000000000003,930.5
13715,Chase De Jong,4.023241781559656,4.02,
13618,Drew Hutchison,4.02593881347701,4.54,763.5
13617,Austin Warren,4.026006005303311,4.71,
13520,Gregory Soto,4.032517236357347,4.84,297.8
13519,Tyler Rogers,4.033418119374749,4.3100000000000005,506.3
13518,Steven Okert,4.0367271034251395,4.0,
13421,Kodi Whitley,4.038682127218217,4.55,
13420,Reiver Sanmartin,4.038899966872664,4.27,
13323,Joe Kelly,4.041370770011498,4.98,
13226,Craig Kimbrel,4.049086701910539,4.42,235.2
13033,Adrian Sampson,4.053317785083951,2.47,608.0
12552,Ryan Tepera,4.064621358835416,4.33,685.5
12263,Codi Heuer,4.070968667613204,4.76,
12166,Genesis Cabrera,4.074721210490671,5.07,
12069,Bryan Abreu,4.074769510265264,4.66,459.5
11876,Davis Martin,4.076857743990628,4.32,768.0
11875,Brusdar Graterol,4.078470682975133,4.42,454.8
11874,Hunter Harvey,4.080056985511918,4.18,648.5
11585,Pierce Johnson,4.085737706689828,4.65,
11584,Aaron Loup,4.088187087165184,3.5700000000000003,
11487,Nick Martinez,4.089058335497814,3.71,381.5
11486,Dillon Tate,4.091019319800748,4.73,597.7
11293,John Curtiss,4.092772651349734,3.87,
11292,Thomas Eshelman,4.094979093273611,4.39,
11195,Kendall Graveman,4.100525938923563,3.79,250.8
10906,Drew Smith,4.108839686350582,4.34,
10809,Cristian Javier,4.111342397353422,4.4,66.4
10808,Kenley Jansen,4.113339037706959,3.92,99.0
10711,Fernando Cruz,4.117248732543128,3.18,
10422,Brandon Hughes,4.123665619807797,4.21,375.6
10325,Daniel Bard,4.1287990303756965,4.890000000000001,153.4
10228,Cal Quantrill,4.13180040750315,3.4400000000000004,278.6
10035,Tony Watson,4.1390799944468295,4.5600000000000005,
9938,Seth Martinez,4.140333137973154,4.17,
9841,Luke Bard,4.142039273100942,4.13,
9840,Anthony Bass,4.142881779640446,3.83,602.8
9839,Andre Scrubb,4.143036609861426,4.8,
9742,Austin Adams,4.1473607114140725,5.17,
9357,Wandy Peralta,4.1540260995507365,4.31,628.5
8876,Andre Jackson,4.16308149211086,3.4699999999999998,
8875,Ryan Sherriff,4.1641526901067945,4.6,
8778,Nate Pearson,4.165929391293175,3.84,537.5
8585,Diego Castillo,4.171081578549685,4.01,485.6
8584,Wily Peralta,4.172692793114537,4.09,
8583,Nick Vincent,4.1730456361922315,4.2299999999999995,
8102,Jesus Tinoco,4.18693112526177,4.4399999999999995,
8101,Danny Coulombe,4.18919153067636,4.11,
8003,Tyler Cyr,4.193398154051586,3.9000000000000004,
8004,James Kaprielian,4.193398154051586,3.9000000000000004,496.0
8002,Packy Naughton,4.19380845240137,4.35,
8001,Hector Neris,4.194958296027636,4.97,498.3
8000,Seth Lugo,4.197086772938725,4.68,514.7
7903,Mark Leiter Jr.,4.202173275613866,3.9000000000000004,
7902,Tony Santillan,4.202352792457396,5.03,
7805,Daniel Hudson,4.206521078982177,4.71,337.0
7708,Scott Alexander,4.208539350761749,3.59,
7611,Caleb Smith,4.210697092519171,4.39,
7514,Clarke Schmidt,4.212862020182846,4.53,518.3
7513,Chris Martin,4.2130333496260315,4.1,594.0
7512,Dietrich Enns,4.213718940580709,3.8499999999999996,
7511,Tommy Hunter,4.21491562273206,4.0600000000000005,
7510,Hunter Strickland,4.21491562273206,4.0600000000000005,
7509,Adam Ottavino,4.21504676883283,4.7,488.8
7508,Domingo Acevedo,4.215241760064211,4.34,427.6
7219,Jared Koenig,4.219287976977068,5.57,
7218,Jaime Barria,4.220520013141448,4.16,
6641,Michael Fulmer,4.236216142324768,4.3,755.5
6640,Dany Jimenez,4.237221427113831,4.79,549.3
6639,Eli Morgan,4.241708347617002,4.13,717.0
6446,Darren O'Day,4.246207357394922,4.09,
6445,Richard Bleier,4.247313405363541,4.21,
6444,Hector Santiago,4.248666774595869,4.970000000000001,
6443,Drew Anderson,4.2487215338942885,5.02,
6346,Miguel Diaz,4.255562092362844,4.67,
6153,Zach Pop,4.265182665147224,4.87,
6152,Yohan Ramirez,4.266164576935372,5.19,
6055,Jorge Alcala,4.270600354747573,4.51,745.0
5958,Spencer Patton,4.273603185196838,5.01,
5957,Archie Bradley,4.2742555625091425,5.109999999999999,
5956,Trevor Stephan,4.275567741974923,4.83,684.5
5955,Louis Head,4.280003713728586,5.14,
5954,Sam Hentges,4.28032313930531,4.25,825.5
5857,Aroldis Chapman,4.281965952178164,5.01,297.6
5856,Thomas Hatch,4.289252755678507,5.15,
5759,Greg Weissert,4.29151635440408,6.529999999999999,
5758,Joel Payamps,4.293436107674078,4.57,
5757,Jose Quijada,4.295190595715829,5.640000000000001,
5756,Josh Staumont,4.295295746447422,5.17,
5755,Tim Hill,4.297131857074665,4.96,
5562,Aaron Ashby,4.303272977170115,4.83,266.8
5561,Lucas Gilbreath,4.305683343770179,5.08,
5464,Mychal Givens,4.309287677195945,4.75,
5367,Jason Foley,4.310972830240094,5.05,
5366,Tanner Banks,4.3110923052639505,4.1899999999999995,
5173,Taylor Hearn,4.322329448890723,4.83,
5172,Carl Edwards Jr.,4.32327993224014,4.65,794.5
4979,David Phelps,4.329644306608506,4.76,
4978,Kyle Crick,4.332172199671308,5.359999999999999,
4977,Yacksel Rios,4.332296509146958,6.12,
4976,Reyes Moronta,4.332418503522795,5.279999999999999,776.0
4975,Corey Knebel,4.337494060988703,5.01,831.5
4974,Rafael Montero,4.337669369607912,5.27,308.2
4973,DL Hall,4.339022264983011,5.1,438.5
4972,Lucas Sims,4.339171094788434,5.300000000000001,755.0
4971,Tyler Duffey,4.340219931741972,4.71,
4970,Matt Wisler,4.34294120207895,3.89,873.5
4969,Mark Melancon,4.34353500834504,4.61,468.6
4968,Jackson Stephens,4.345697783658439,4.66,
4967,Ross Detwiler,4.349480974401559,4.62,
4966,Jake Diekman,4.352953260092232,5.199999999999999,867.5
4965,A.J. Cole,4.353686892265901,3.71,
4868,A.J. Puk,4.360744455904337,4.88,410.8
4867,Camilo Doval,4.364244019323924,3.84,105.2
4674,Joe Barlow,4.3821284341665745,3.81,449.8
4577,Kyle Finnegan,4.384555586955531,4.75,358.8
4576,Lucas Luetge,4.386255678760137,3.93,
4575,Michael Kopech,4.3874831096823215,5.13,273.2
4574,Andrew Wantz,4.387748760283679,5.07,
4573,Phoenix Sanders,4.388585886319937,4.09,
4572,Tyler Kinley,4.39027626317106,5.2,
4571,Adam Kolarek,4.392332971531384,5.12,
4570,Jose Ruiz,4.393029816684608,5.01,
4569,Zack Weiss,4.39588391036672,4.43,
4568,Tyler Wells,4.397955115966393,5.0200000000000005,491.0
4567,Mason Thompson,4.403329244547824,4.99,
4566,Cole Sands,4.414184264552575,4.6899999999999995,
4565,Yency Almonte,4.4196643457307605,5.529999999999999,750.5
4564,Steve Cishek,4.420107098129283,5.3999999999999995,
4563,Trevor Williams,4.420739942899708,4.37,713.0
4562,Matt Strahm,4.423388815163193,5.02,824.5
4561,Freddy Peralta,4.4237849431128335,5.17,144.0
4560,Tyler Alexander,4.429337396855846,4.529999999999999,
4559,Tyler Thornburg,4.429534573761451,4.92,
4558,Noe Ramirez,4.430182674639067,5.25,
4557,Jake Woodford,4.433737343243868,4.75,
4556,Tarik Skubal,4.437315706426255,4.6,386.6
4555,Sam Moll,4.438025818878236,4.29,
4554,Jalen Beeks,4.438687130445514,4.08,784.5
4553,Luis Cessa,4.440455387007748,4.6,
4552,Hirokazu Sawamura,4.444913938708626,4.83,
4551,Domingo Tapia,4.446419524508704,5.97,
4550,Jake McGee,4.446606119784279,5.0600000000000005,711.0
4549,Huascar Brazoban,4.448045175264489,4.56,
4548,Mitch White,4.448222646610299,4.72,828.5
4547,Richard Lovelady,4.450168918935845,4.8500000000000005,
4546,David Robertson,4.452899707251805,3.95,368.8
4545,Ljay Newsome,4.453784349106681,4.54,
4544,Gabe Speier,4.454030664183267,4.66,
4543,Kyle McGowin,4.457264496138215,5.59,
4542,Drew Carlton,4.459183676271438,4.06,
4541,Matt Barnes,4.459641090329151,5.3500000000000005,483.3
4540,Marcos Diplan,4.460703547026391,5.33,
4539,Nestor Cortes,4.461104859615245,4.89,
4538,J.B. Wendelken,4.461413999922196,5.32,
4537,Manny Banuelos,4.462331557360916,5.68,
4536,Brent Suter,4.463929337962958,4.65,906.5
4535,Connor Brogdon,4.4680089989845655,4.6,
4534,Blake Parker,4.474960176581538,4.470000000000001,
4533,Kyle Zimmer,4.475935171819436,5.29,
4532,Grant Dayton,4.481125177630904,4.91,
4531,Yusmeiro Petit,4.484415403326909,4.48,
4530,Anthony Gose,4.487025265894953,5.09,
4529,Edgar Santana,4.489486674966311,4.74,
4528,Chris Stratton,4.494532294239339,5.3,
4527,Craig Stammen,4.498003313211497,4.57,
4526,Bruce Zimmermann,4.503240681794475,4.8,
4525,Trevor May,4.508536764574481,5.25,395.2
4524,Jordan Hicks,4.5128655087858025,5.819999999999999,570.0
4523,Keegan Akin,4.517428367229068,4.78,760.0
4522,Paul Fry,4.518508153633255,6.63,
4521,Ronald Bolanos,4.5185710076706025,5.1899999999999995,
4520,Brad Hand,4.52042941252967,4.42,869.5
4519,Zack Britton,4.524555086553565,5.53,
4518,Andres Machado,4.5245958604963095,4.74,
4517,Griffin Jax,4.525392910099559,5.14,664.5
4516,Ryan Burr,4.526348812046875,4.699999999999999,
4515,David Price,4.527331681594643,4.65,
4514,Justin Bruihl,4.528958984922367,4.79,
4513,Ryan Thompson,4.543098282294679,4.76,
4512,Brandon Brennan,4.546844820259192,4.26,
4511,Rafael Dolis,4.559991567706699,5.4,
4510,Cam Bedrosian,4.561073204112533,5.7700000000000005,
4509,Zack Kelly,4.561590046114784,5.2700000000000005,
4508,Jimmie Sherfy,4.5702089759751745,5.2700000000000005,
4507,Jimmy Lambert,4.573600094551681,4.92,
4506,Jose Cuas,4.577422146085788,5.25,
4505,Riley Smith,4.577899232077015,5.13,
4504,Max Castillo,4.5813218088219525,5.1,958.0
4503,Andrew Bellatti,4.58144936803822,5.01,
4502,Jandel Gustave,4.582001018777668,4.9,
4501,Erik Swanson,4.5831592665316485,4.96,448.4
4500,Alex Lange,4.5831592665316485,4.96,267.0
4499,Joe Mantiply,4.5846970311909985,4.66,592.5
4498,Cody Poteet,4.58485239593013,4.33,
4497,Kwang-hyun Kim,4.587094452179569,3.9000000000000004,
4496,Chasen Shreve,4.593557446169569,5.449999999999999,
4495,Cody Stashak,4.5947505226421335,5.789999999999999,
4494,Phil Bickford,4.598411560377162,5.24,
4493,Brooks Raley,4.602630825772424,4.95,607.0
4492,Erich Uelmen,4.603783570406605,6.04,
4491,Jesse Chavez,4.606808050211745,4.970000000000001,
4490,Evan Marshall,4.607159865383157,5.359999999999999,
4489,Ryan Yarbrough,4.608589845316297,5.21,709.5
4488,Chris Rodriguez,4.624965386502596,5.13,
4487,Jose Alvarado,4.6349035017637705,5.33,448.6
4486,Carlos Hernandez,4.6385752841682155,5.7299999999999995,906.0
4485,Enoli Paredes,4.6395071128868075,5.72,
4484,Joely Rodriguez,4.642970728458534,5.67,
4483,Matt Bush,4.644608462351531,4.58,628.5
4482,Joey Gerber,4.64579272337259,5.17,
4481,Will Vest,4.646420704314344,6.06,
4480,Jharel Cotton,4.648381739191452,4.86,
4479,Mike Mayers,4.651062760288621,5.15,
4478,Garrett Hill,4.65114810756226,5.04,
4477,Zack Littell,4.654546031872702,5.13,
4476,Walker Lockett,4.6571514714335045,5.03,
