,Name,Model_Projection_Sum_of_ERA_WHIP,Actual_Sum_of_ERA_WHIP,ADP
4475,James Hoyt,4.6572598348109855,4.7700000000000005,
4474,Cole Sulser,4.663869115999278,5.3100000000000005,
4473,Brett Martin,4.667544213360089,4.720000000000001,
4472,Colin Poche,4.669841966328912,5.15,843.0
4471,Trevor Richards,4.6709244338985165,5.9799999999999995,
4470,Daniel Mengden,4.673488757476521,3.63,
4469,Jeffrey Springs,4.680841196949187,5.17,161.2
4468,Tyler Clippard,4.687772547802195,4.6,
4467,Kyle Funkhouser,4.692090463860804,6.0,
4466,Stephen Nogosek,4.6964261807844405,4.08,
4463,Oliver Perez,4.7014268026782,5.18,
4462,Lou Trivino,4.703025336397001,5.13,534.8
4461,Tanner Scott,4.709771478832953,5.7,558.5
4460,Jeff Brigham,4.710635326250094,4.96,
4459,Miguel Castro,4.710868424248169,5.17,
4458,Hunter Strickland,4.711425698673212,5.26,
4457,Tommy Hunter,4.711425698673212,5.26,
4456,Nick Neidert,4.714836912050888,4.87,
4455,Jacob Webb,4.717639150006044,4.6899999999999995,
4454,Robert Stock,4.720122285174616,6.680000000000001,
4453,Enyel De Los Santos,4.720381786361892,5.69,
4452,Tanner Rainey,4.721909821520613,6.04,
4451,Burch Smith,4.726614130418402,5.949999999999999,
4450,Dominic Leone,4.729635985118527,4.62,
4449,Patrick Sandoval,4.734826585199721,5.47,204.2
4448,Greg Holland,4.739473500813015,5.289999999999999,
4447,Joey Krehbiel,4.7472936145297355,5.18,
4446,Eric Yardley,4.747764905534199,5.359999999999999,
4445,Jose Quintana,4.75067833411403,5.58,333.8
4444,Matthew Festa,4.752531457236665,5.3,
4443,Pedro Baez,4.765549985703948,4.9799999999999995,
4442,Colin Rea,4.768967963217613,5.1899999999999995,
4441,Logan Gillaspie,4.786369525387569,4.45,
4440,Nik Turley,4.788729952140271,6.090000000000001,
4439,John Brebbia,4.795369789658214,5.6,
4438,Joe Jimenez,4.796507776043402,6.35,550.3
4437,Kirk McCarty,4.8019831647666615,4.57,
4436,Conner Menez,4.805483584012649,4.52,
4435,Sam Selman,4.809086319650943,6.08,
4434,Zach Thompson,4.814083937996827,5.930000000000001,999.5
4433,Dennis Santana,4.816794397464486,6.22,
4432,Albert Abreu,4.81858502294254,5.88,
4431,Dauri Moreta,4.818589906006802,5.85,
4430,Sean Reid-Foley,4.8207718441000385,6.03,
4429,Steven Matz,4.823821224424076,5.22,362.7
4428,Justin Wilson,4.824424525045856,5.91,
4427,Tyler Beede,4.824763174773229,5.68,
4426,Stefan Crichton,4.838123819388185,6.28,
4425,Drew Rasmussen,4.839650690863045,6.1,169.4
4424,Huascar Ynoa,4.841035466252351,5.68,685.5
4423,Luis Perdomo,4.841035466252351,5.68,
4422,Jakob Junis,4.842236785510217,5.4,564.0
4421,Joakim Soria,4.843441806812607,5.54,
4420,Erick Fedde,4.844998590790198,6.17,984.0
4419,Nabil Crismatt,4.846192528802029,4.7,
4418,Jake Brentz,4.847447288904995,6.680000000000001,
4417,Devin Smeltzer,4.8517021154307285,5.41,
4416,Miguel Sanchez,4.862767922736323,5.67,
4415,Josh Taylor,4.868565258859723,5.7,
4414,Patrick Murphy,4.870853036757681,6.3999999999999995,
4413,Austin Gomber,4.871403296106712,5.880000000000001,
4412,Aaron Sanchez,4.873142863809209,5.53,
4411,Ralph Garza,4.878314029455823,4.85,
4410,Wil Crowe,4.879361684145592,5.89,852.0
4409,Dan Winkler,4.880108318545694,5.95,
4408,Amir Garrett,4.892461275765922,6.38,690.5
4407,Garrett Richards,4.895594755018692,5.59,
4406,Buck Farmer,4.902026464640447,6.11,990.0
4405,Luke Jackson,4.902957450910295,4.8,
4404,Hanser Alberto,4.905140738745799,5.12,716.0
4403,Jake Fishman,4.908231997307567,5.27,
4402,Ervin Santana,4.90904424594636,5.9,
4401,Matt Foster,4.923572371217981,5.85,
4400,Sam Howard,4.926169170651165,6.7,
4399,Logan Allen,4.9289737082204805,5.140000000000001,
4398,Keynan Middleton,4.929971738214308,5.78,
4397,Sean Poppen,4.933691652578656,6.290000000000001,
4396,Geoff Hartlieb,4.934120713322748,7.53,
4395,Dillon Peters,4.939185316548539,5.83,
4394,Vince Velasquez,4.940383357701433,5.93,578.0
4393,Andrew Miller,4.958754951002032,5.67,
4392,Justus Sheffield,4.959585436012536,6.98,
4391,Derek Holland,4.962945205118354,6.15,
4390,Taylor Rogers,4.963265814642966,5.41,298.4
4389,Carlos Estevez,4.97745198660893,5.95,315.4
4388,Garrett Cleavinger,4.980001838051222,5.06,
4387,Art Warren,4.983167375016662,5.95,
4386,Hoby Milner,4.986350196493675,5.98,
4385,Bryan Shaw,4.9891644563368445,6.24,
4384,Shane Greene,4.989235743919863,6.16,
4383,Ian Gibaut,4.995133626754011,6.3100000000000005,
4382,Cody Reed,4.998748507840973,5.67,
4381,Matt Andriese,5.001512488514139,5.890000000000001,
4380,Taylor Clarke,5.002231599864417,5.609999999999999,
4379,Nick Nelson,5.002387195125576,6.66,
4378,Eric Lauer,5.003085020569351,6.3100000000000005,347.4
4377,Josh Rogers,5.005373946845794,6.41,
4376,Sean Doolittle,5.007790880049985,5.699999999999999,
4375,Junior Guerra,5.011628122262438,6.6,
4374,Nick Wittgren,5.012758691869768,6.05,
4373,J.D. Hammer,5.016378216179296,6.550000000000001,
4372,Jose Urena,5.016668129897984,6.12,
4371,Josh James,5.018408808533467,6.92,
4370,Deolis Guerra,5.021315665765703,5.72,
4369,Daniel Ponce de Leon,5.032817924091536,6.4,
4368,Michael Lorenzen,5.039941669654301,6.7299999999999995,417.3
4367,Emilio Pagan,5.043412472149393,5.84,821.0
4366,Seth Elledge,5.046885878782016,6.3,
4365,Kyle Nelson,5.061469847873153,5.79,845.5
4364,Adrian Morejon,5.06265567776344,5.529999999999999,570.5
4363,Josh Sborz,5.063458116167957,6.01,
4362,Cameron Hill,5.06446671287054,5.78,
4361,Josh Fleming,5.0663951965963,5.25,
4360,Brandon Bielak,5.069348120076143,5.96,
4359,Ryan Borucki,5.074885729396358,6.0,
4358,Yennsy Diaz,5.077476737275357,6.880000000000001,
4357,John King,5.082882484317501,5.359999999999999,
4356,Mike Wright Jr.,5.086249618357329,7.0600000000000005,
4355,Bailey Falter,5.0914599053845695,6.23,443.5
4354,Jared Hughes,5.0955900529420415,6.5,
4353,Taylor Widener,5.097849129592539,5.74,
4352,Ross Stripling,5.106036348497082,6.3500000000000005,274.4
4351,Chaz Roe,5.106104606212592,6.0,
4350,Matt Peacock,5.108004838179699,6.27,
4349,Oliver Ortega,5.114151299169027,5.43,
4348,Alex Colome,5.11470429088097,5.57,625.0
4347,Jake Reed,5.119297292311636,7.01,
4346,Kyle Barraclough,5.136980944000689,5.91,
4345,Phillips Valdez,5.137490030503579,6.08,
4344,Trent Thornton,5.139009280438307,5.84,
4343,Anthony Misiewicz,5.141780584337992,5.77,
4342,Austin Brice,5.142565175233457,7.4399999999999995,
4341,Alex Claudio,5.143146129392764,6.1899999999999995,
4340,Phil Maton,5.144221257318391,5.64,
4339,Corey Oswalt,5.144337816905336,4.93,
4338,Rony Garcia,5.144687248291105,6.24,"1,023.0"
4337,Oliver Drake,5.146330132113883,6.91,
4336,Tyler Zuber,5.152597873026706,6.87,
4335,T.J. McFarland,5.161770742504907,5.760000000000001,
4334,Duane Underwood Jr.,5.161895770274986,5.949999999999999,"1,046.0"
4333,Justin Garza,5.1634248496584885,6.28,
4332,Sergio Romo,5.1736474038377995,6.31,
4331,Ian Krol,5.178406409650978,6.0,
4330,Luke Weaver,5.195792312127051,6.470000000000001,
4329,Nick Vespi,5.197305118430425,5.51,
4328,Tyler Chatwood,5.200703159808361,7.1,
4327,Wade LeBlanc,5.200945347205115,5.83,
4326,Jeurys Familia,5.201691026950907,6.1899999999999995,824.0
4325,Brandon Kintzler,5.205154261388526,6.0,
4324,Kirby Snead,5.215936479867473,6.99,
4323,Gabe Klobosits,5.219248225186291,7.1499999999999995,
4322,Daniel Norris,5.219647637470217,6.6,
4321,Tayler Saucedo,5.220433896778648,6.78,
4320,Luke Farrell,5.224933196803183,6.16,
4319,Jeff Hoffman,5.230432740692676,6.62,
4318,Chris Mazza,5.23279251222111,6.94,
4317,Beau Sulser,5.234269760811291,5.109999999999999,
4316,Andrew Vasquez,5.236991372702468,6.290000000000001,
4315,Cristopher Sanchez,5.239912016636545,6.869999999999999,
4314,Bryse Wilson,5.250484244861183,5.9,746.5
4313,Dinelson Lamet,5.252423433491458,7.3,640.5
4312,Kervin Castro,5.262743750274507,6.43,
4311,Ryan Brasier,5.264262510069036,6.17,
4310,Corbin Martin,5.265386027759854,7.33,
4309,Joe Smith,5.2692078595914325,6.29,
4308,Manuel Rodriguez,5.270050510953451,6.4399999999999995,721.0
4307,Robert Gsellman,5.271035590480871,6.11,
4306,Felix Pena,5.2734439102831585,7.66,
4305,Derek Law,5.276712160302022,5.74,
4304,Yerry De Los Santos,5.279121687280011,6.2,
4303,Michael Rucker,5.2807679495392925,6.3500000000000005,
4302,Trevor Gott,5.291040942197451,6.529999999999999,
4301,Rex Brothers,5.295431400607124,6.869999999999999,
4300,Zac Lowther,5.295870380313205,7.9399999999999995,
4299,Chi Chi Gonzalez,5.295885217136955,6.38,
4298,Taylor Williams,5.298148544516064,7.029999999999999,
4297,Kevin Ginkel,5.298810260882967,6.82,584.5
4296,Brady Lail,5.30426027333743,6.760000000000001,
4295,Austin Pruitt,5.305650754779366,5.640000000000001,
4294,Ty Blach,5.320634361170828,7.21,
4293,Ryan Weber,5.328089620837499,5.1899999999999995,
4292,Anderson Espinoza,5.330486012034251,7.04,
4291,Eric Stout,5.33108426636205,7.4799999999999995,
4290,Yunior Marte,5.331821896351154,6.880000000000001,
4289,Travis Lakins Sr.,5.333871183486515,6.71,
4288,Fernando Abad,5.338910351767859,7.3,
4287,Carson Fulmer,5.340408548542463,7.4399999999999995,
4286,Rowan Wick,5.340947046522873,5.609999999999999,713.0
4285,Adam Morgan,5.341981024185758,6.11,
4284,Bryan Garcia,5.348386105639087,7.12,
4283,Wyatt Mills,5.358291704508026,7.76,
4282,Julian Merryweather,5.360359271697078,7.2700000000000005,
4281,Will Harris,5.365214818848075,6.25,
4280,Humberto Castellanos,5.368395182334703,6.43,
4279,Junior Fernandez,5.368745440510483,6.9399999999999995,
4278,JC Mejia,5.372896334199093,7.3,
4277,Demarcus Evans,5.374779277911375,6.17,
4276,Matt Magill,5.386491564456717,7.55,
4275,Tommy Nance,5.387365557742058,7.1899999999999995,
4274,Shawn Armstrong,5.388754380422535,6.42,
4273,Wes Benjamin,5.389129043372602,7.23,
4272,Victor Arano,5.405274360340455,5.9,
4271,Cesar Valdez,5.405381492222561,6.27,
4270,Kutter Crawford,5.4054627746938255,7.26,612.5
4269,David Hale,5.407709659612545,7.300000000000001,
4268,Jake Bird,5.412491968069841,6.34,
4267,Thomas Szapucki,5.412555348638716,6.17,
4266,Keone Kela,5.414037109012895,6.39,
4265,Alex Young,5.420604678323816,6.0,
4264,Dan Altavilla,5.422806670682852,7.25,
4263,Ryne Harper,5.426542752243212,6.8100000000000005,
4262,Hansel Robles,5.430236477598641,7.109999999999999,
4261,Robert Stephenson,5.4379636433903356,6.21,
4260,Antonio Santos,5.455348013283297,7.44,
4259,Hyeon-jong Yang,5.461395193083483,6.44,
4258,Brad Keller,5.462272862599649,8.25,773.5
4257,Nick Mears,5.466686496008725,6.43,
4256,Yusei Kikuchi,5.468461209800556,6.33,424.8
4255,Rico Garcia,5.472697640805734,6.5600000000000005,
4254,Touki Toussaint,5.473152595453354,7.85,
4253,Tyler Webb,5.474877814852625,8.58,
4252,Jonathan Holder,5.48047747485446,6.640000000000001,
4251,Tyler Danish,5.482776475217653,6.42,
4250,Ty Buttrey,5.492098575257226,7.22,
4249,Edwin Uceta,5.499833115748048,7.44,
4248,Jace Fry,5.504521639275614,7.14,
4247,Darwinzon Hernandez,5.511356145717009,7.130000000000001,
4246,Sammy Long,5.5133341577983,6.3500000000000005,
4245,Aaron Slegers,5.518344308410879,7.3,
4244,Ryan Hendrix,5.530355739885625,7.449999999999999,
4243,Joel Kuhnel,5.5322077591243755,7.7299999999999995,
4242,Kyle Cody,5.533130176167209,7.140000000000001,
4241,Ian Kennedy,5.537582691300722,6.2299999999999995,
4240,Jordan Weems,5.540536515826524,7.04,
4239,Sean Newcomb,5.541230124102546,8.42,
4238,Josh Tomlin,5.559563243588858,6.93,
4237,Ashton Goudeau,5.571712608890818,7.35,
4236,Jhoulys Chacin,5.5734774332132035,7.26,
4235,Jake Faria,5.580418422568197,7.63,
4234,Francisco Perez,5.591771191378476,7.890000000000001,
4233,Sean Hjelle,5.59674501321632,7.3999999999999995,
4232,Ben Rowen,5.602337842281754,6.8,
4231,Adam Plutko,5.612468191896848,6.88,
4230,Mike Baumann,5.627381070421959,7.8500000000000005,909.5
4229,Sam Clay,5.641432077848121,7.59,
4164,Jacob Barnes,5.653280959160821,7.28,
4163,Sam Coonrod,5.655725191060733,7.449999999999999,
4162,Kolby Allard,5.65855667772556,7.08,
4161,Ben Bowden,5.6630477247308395,8.379999999999999,
4160,Austin Davis,5.665233274242222,8.07,
4159,Brandon Waddell,5.665886691535443,7.81,
4094,Jimmy Cordero,5.677942177360485,7.66,
4093,Kaleb Ort,5.680965213178116,8.09,
4028,Brad Brach,5.683384101563516,7.82,
4027,Alberto Baldonado,5.709203907068658,10.03,
4026,Lewis Thorpe,5.709269048671823,7.2,
3961,Josh Winder,5.711195962489313,7.29,620.0
3896,Adonis Medina,5.717466128681198,7.41,
3831,Kyle Keller,5.720545598781238,8.16,
3830,Conner Greene,5.721242109361448,9.17,
3829,Paul Campbell,5.725157848014684,7.3,
3828,Gio Gonzalez,5.727252382893746,7.390000000000001,
3827,Jake Newberry,5.7301109285495,7.86,
3826,Cory Abbott,5.738258591495545,6.930000000000001,
3825,Martin Perez,5.7384457825164095,5.93,288.4
3824,Nate Jones,5.738597203600878,7.54,
3759,Eric Hanhold,5.74577471400659,8.52,
3566,Justin Lawrence,5.769594671726369,8.309999999999999,
3565,Sal Romano,5.771202970379415,7.3999999999999995,
3564,Tommy Milone,5.773345116993761,7.13,
3563,Reymin Guduan,5.781867550745735,7.95,
3498,Dellin Betances,5.7859571259839315,9.790000000000001,
3369,Nivaldo Rodriguez,5.797614901467984,6.3100000000000005,
3368,Tony Gonsolin,5.79811711697571,7.75,131.8
3367,Chad Kuhl,5.807999829807358,7.15,"1,031.0"
3366,Luis Oviedo,5.808079552494696,9.0,
3301,James Norwood,5.831877277549114,9.09,
3236,Josh Osich,5.837122484048542,6.98,
3235,Nick Ramirez,5.840029047725874,7.16,
3234,Ramon Rosso,5.8518704303987565,7.5,
3233,Collin Snider,5.857156942786898,8.15,
3168,Kyle Ryan,5.867437530277104,7.45,
3167,Trevor Megill,5.871933929647778,7.65,
3166,Wander Suero,5.879057365990772,6.79,
3165,Justin Miller,5.891897908341088,7.53,
3164,Jeremy Beasley,5.903564953878395,7.34,
3163,Anthony Banda,5.910645447114865,7.43,
3162,Kirby Yates,5.913095276821959,9.88,
3161,Tayler Scott,5.921125504788776,8.83,
3160,Calvin Faucher,5.929287424061554,7.17,
3159,Yoshihisa Hirano,5.946390887522175,7.949999999999999,
3158,Anthony Castro,5.957246301639568,7.59,
3157,Dakota Bacus,5.957708382624258,9.97,
3156,Andrew Heaney,5.959951859204934,8.71,213.8
3091,Chad Smith,5.99452348007709,9.22,
3026,Anthony Kay,6.001256437117695,7.73,
2961,Keury Mella,6.010863199682386,8.14,
2768,Angel Perdomo,6.0579420380719835,10.17,
2767,Cy Sneed,6.0660505677567365,7.5600000000000005,
2734,Jesse Biddle,6.069848089362376,9.700000000000001,
2701,JoJo Romero,6.0728710257688,7.75,
2508,Luis Avilan,6.101578515056231,9.23,
2507,Yoan Lopez,6.108910965169102,7.7700000000000005,
2250,Austin Voth,6.123286423245461,8.030000000000001,608.0
2121,Shaun Anderson,6.155073013113281,8.68,
1960,Jacob Lemoine,6.188120563836882,9.24,
1735,Cody Ponce,6.202235906572632,7.4,
1734,Dylan Covey,6.202432832839703,8.5,
1733,Ryan Buchter,6.211058648624929,7.83,
1732,Mauricio Llovera,6.216712536510027,9.26,
1635,Jefry Rodriguez,6.2277635376637,8.95,
1602,Heath Hembree,6.2334743972775755,8.11,
1473,Dovydas Neverauskas,6.24127344858229,8.9,
1280,Hector Rondon,6.275353611834195,9.450000000000001,
1279,Sean Guenther,6.277982143644518,11.32,
1278,Jose Marte,6.296505725672034,10.0,
1213,Norge Ruiz,6.312853577057913,9.06,
1148,Trevor Kelley,6.340610449663533,8.26,
1083,Jesus Luzardo,6.347066285495592,9.41,139.2
1082,Drew VerHagen,6.349560936782475,8.540000000000001,
1081,Brandon Workman,6.3577029238369525,7.78,
1080,Josh A. Smith,6.370193031132894,9.13,
1079,Elieser Hernandez,6.376884345419267,9.129999999999999,561.5
1078,Jason Alexander,6.379140202226855,9.07,
1077,Brett de Geus,6.404294046696235,9.299999999999999,
1076,Alec Mills,6.408047210617645,9.0,
947,Shun Yamaguchi,6.478831081419779,9.81,
946,Jacob Waguespack,6.485141538668731,10.190000000000001,
881,Wade Davis,6.501934793003096,9.639999999999999,
880,Ryan Meisinger,6.510236521827502,11.1,
879,Luis Frias,6.513741087476287,11.610000000000001,
686,Bennett Sousa,6.527798985357913,10.13,
493,Shelby Miller,6.564263321447786,10.07,823.0
428,Aaron Fletcher,6.571061271063248,10.98,
427,David Hess,6.573134752782002,8.8,
426,Robert Dugger,6.58034668568416,9.53,
425,Luis Madero,6.583016323723634,10.75,
424,J.B. Bukauskas,6.587085027206227,9.58,
231,Colten Brewer,6.613385678730389,8.43,
166,Miguel Yajure,6.631954435567443,9.9,
165,Michael Wacha,6.634072346193791,8.72,352.2
164,Tyler Cyr,6.636204338991412,9.08,
163,James Kaprielian,6.636204338991412,9.08,496.0
98,Justin Grimm,6.6422506124933225,9.1,
33,Michael Feliz,6.679253451376362,9.959999999999999,
32,Dusten Knight,6.745750206216183,8.9,
31,Casey Lawrence,6.847016732576703,9.0,
30,Stephen Tarpley,6.849993881311056,12.64,
29,Zack Burdi,6.851237187016652,9.64,
28,Jimmy Yacabonis,6.860934078053108,10.36,
27,Beau Burrows,6.86556086433907,10.34,
26,Jairo Diaz,6.88274731439628,9.9,
25,Dereck Rodriguez,6.930571948452339,9.0,
24,T.J. Zeuch,6.931083220692011,8.129999999999999,
23,Justin Topa,6.940322901894681,10.15,
22,Josh Lindblom,6.99333061146256,10.45,
21,Chris Devenski,7.029172023948376,11.22,
20,Chase Anderson,7.035836195009788,10.31,
19,Jose De Leon,7.131513295189741,14.87,
18,Shawn Morimando,7.161584680190604,11.81,
17,Wilmer Font,7.228702942285613,12.19,
16,Robbie Erlin,7.230927575410496,9.82,
15,Elvis Peguero,7.320165341801145,11.08,
14,Jackson Kowar,7.325425046173208,11.36,
13,Yennier Cano,7.388435676510564,13.83,
12,Anthony Swarzak,7.418804801316311,11.19,
11,Andrew Nardi,7.521103295486563,12.48,
10,Nick Goody,7.551141124782882,12.100000000000001,
9,Randy Dobnak,7.754623943167822,12.18,
8,Phillip Diehl,7.780984831580163,12.43,
7,Spenser Watkins,7.8421288313862885,12.11,
6,Konner Wade,7.870126881749691,13.95,
5,Jake Jewell,7.891268322050275,12.2,
4,Franklyn Kilome,8.009091046681716,13.149999999999999,
3,Marcus Walden,8.085711903488798,11.85,
2,A.J. Alexy,8.122162045753793,15.19,
1,Edgar Garcia,8.125212043087405,13.89,
0,Brooks Kriske,9.129254633535975,16.6,
