,Name,Model_Projection_Sum_of_ERA_WHIP,Actual_Sum_of_ERA_WHIP,ADP,ADP
261,Justin Verlander,2.4792626509896554,2.61,32.6,32.0
260,Trevor Bauer,2.8404951972921433,3.16,446.3,380.0
259,Tony Gonsolin,2.892179554529097,3.2199999999999998,189.1,176.0
258,Jacob deGrom,2.9683387088423965,2.78,31.7,29.0
257,Alek Manoah,3.251901912671335,3.6100000000000003,63.6,50.0
256,Corbin Burnes,3.35806241619727,3.56,14.8,14.0
255,Cristian Javier,3.369275871603809,3.99,56.8,55.0
254,Max Scherzer,3.470352299958913,3.59,32,33.0
253,Max Fried,3.551663166694543,3.7300000000000004,63.7,53.0
252,Bryce Elder,3.5777185330535763,3.99,578.6,559.0
251,Julio Urias,3.60868349107515,3.7,54,45.0
250,Nestor Cortes,3.6098075214511023,3.91,,
249,Dinelson Lamet,3.6414295111959785,3.6799999999999997,767.3,690.0
248,Shane Bieber,3.6637678172754744,3.75,47.1,44.0
247,Brandon Woodruff,3.6782557202663217,3.8499999999999996,35,36.0
246,Carlos Rodon,3.7045705798017687,3.8,78.1,69.0
245,Freddy Peralta,3.721222710399699,4.07,132.3,138.0
244,Jeffrey Springs,3.739986742604596,3.7600000000000002,148.9,148.0
243,Drew Rasmussen,3.7478632437540096,3.61,172.8,161.0
242,Spencer Strider,3.761652105759082,3.76,29.2,30.0
241,Clayton Kershaw,3.76283387320976,3.71,97.4,104.0
240,Walker Buehler,3.7975742841118256,3.9400000000000004,647,390.0
239,Shohei Ohtani,3.840891901694711,3.98,10.3,8.0
238,Zack Wheeler,3.905212854178194,3.86,47.9,48.0
237,Luis Severino,3.919993891966139,4.18,128.5,126.0
236,Kwang-hyun Kim,3.9322046953176284,4.21,,
235,Tyler Glasnow,3.985381300425434,4.15,145.3,131.0
234,Sandy Alcantara,4.009599227368708,3.7800000000000002,29,24.0
233,Zac Gallen,4.019319793031592,4.22,65.6,73.0
232,Shane McClanahan,4.043775449681739,3.99,35.1,34.0
231,Chris Bassitt,4.075474676831018,4.24,153.5,134.0
230,Dylan Cease,4.096799294666141,4.359999999999999,52.4,41.0
229,Joe Musgrove,4.153992356977854,4.28,91.3,92.0
228,Ranger Suarez,4.171062473528242,4.27,270.9,291.0
227,Lance McCullers Jr.,4.182862119311779,4.37,251.9,241.0
226,Gerrit Cole,4.210026119789246,4.3,18,15.0
225,Adam Wainwright,4.220848022493262,4.49,323.8,276.0
224,Framber Valdez,4.222378693382161,4.28,72.9,65.0
223,Adrian Sampson,4.238008444859971,4.46,762.5,681.0
222,Tanner Houck,4.2418945081482065,4.34,335.8,350.0
221,Yu Darvish,4.243688593095129,4.35,64.5,57.0
220,Spencer Turnbull,4.2962625197049,4.63,451.8,408.0
219,Michael Kopech,4.298588625113355,4.52,265.8,269.0
218,Lance Lynn,4.345963398133656,4.37,122.9,118.0
217,Kevin Gausman,4.351359117213583,4.27,54.2,59.0
216,Dustin May,4.366063263466149,4.4399999999999995,156.7,147.0
215,Marcus Stroman,4.418344407209258,4.38,246.3,263.0
214,Wily Peralta,4.433274049020545,4.41,,
213,Cal Quantrill,4.438807172488371,4.41,292.4,270.0
212,Triston McKenzie,4.44086314675869,4.75,128.3,89.0
211,Miles Mikolas,4.468487010046621,4.54,218,198.0
210,John Means,4.484830317455575,4.84,509.2,504.0
209,Joe Ryan,4.535580295288694,4.68,135.2,139.0
208,Luis Castillo,4.61838437158589,4.73,54.9,129.0
207,Jose Urquidy,4.61854304537845,4.75,252.2,225.0
203,Patrick Sandoval,4.637538730481708,4.75,199.4,199.0
202,Aaron Nola,4.660789867523327,4.85,28.8,25.0
201,Sonny Gray,4.662676860727247,4.86,213.8,227.0
200,Pablo Lopez,4.669708798810049,4.68,147.2,157.0
199,Robbie Ray,4.672160814028273,4.890000000000001,88.9,81.0
198,Logan Webb,4.690446796633061,4.5,104.2,93.0
197,Steven Brault,4.694241103829657,5.12,,
196,Blake Snell,4.701809417972944,4.95,108.8,106.0
195,Edward Cabrera,4.716227080470685,4.99,222.9,228.0
194,Wade Miley,4.766564490329869,4.9,617.8,515.0
193,Eric Lauer,4.791316953264534,4.99,270.9,283.0
192,George Kirby,4.801849886383156,4.6,103,111.0
191,Danny Duffy,4.81657004927782,4.84,718.5,928.0
190,Merrill Kelly,4.82313701479559,4.93,229.6,211.0
189,Mike Clevinger,4.835856313814091,5.09,352.5,353.0
188,Charlie Morton,4.886286757541368,5.07,140.6,150.0
187,Logan Gilbert,4.894530141591055,4.96,111.8,101.0
186,Taijuan Walker,4.915278146946436,4.95,283.6,288.0
185,Kyle Wright,4.92905887883588,4.98,134,125.0
184,Martin Perez,4.937156161366625,5.04,280.5,273.0
183,Tyler Anderson,4.939476029817667,4.87,243.3,230.0
182,Jordan Montgomery,4.94186832709325,5.01,160.4,168.0
181,Bailey Ober,4.966231431874325,4.97,298.3,388.0
180,Chris Flexen,4.979999582094191,5.07,575,511.0
179,Rich Hill,4.991748245058323,5.1,523.2,624.0
178,Tyler Mahle,5.019746371317303,5.12,235.7,232.0
177,Nathan Eovaldi,5.044970657215117,5.0,222.6,220.0
176,Marco Gonzales,5.061025664664271,5.09,503.7,470.0
175,Nick Lodolo,5.080977319748662,4.91,127.3,123.0
174,Frankie Montas,5.0860775339588935,5.18,320.1,359.0
173,Kenta Maeda,5.08733808879413,4.99,280.7,303.0
172,Domingo German,5.091369054953889,5.17,348.8,356.0
171,Beau Brieske,5.110496633035785,5.390000000000001,756.3,770.0
170,Jose Quintana,5.114247065056237,5.22,367.7,387.0
169,Devin Smeltzer,5.123888189428751,5.24,,
168,Jack Flaherty,5.135386329283369,5.21,231.2,206.0
167,Roansy Contreras,5.137943026156617,5.0,272.9,349.0
166,Hyun-Jin Ryu,5.139525813400876,5.29,,
165,Zack Greinke,5.160934179606587,5.17,678.8,392.0
164,James Kaprielian,5.166373502723732,5.33,573.5,576.0
163,Ian Anderson,5.197996409979369,5.300000000000001,550.6,378.0
162,Ross Stripling,5.213425834562464,5.199999999999999,280,258.0
161,Michael Lorenzen,5.217633276731264,5.36,526,545.0
160,Justin Steele,5.248102647148835,5.029999999999999,271.7,289.0
159,Jameson Taillon,5.249601173318132,5.24,241.9,251.0
158,Alex Cobb,5.260892266025037,5.14,203.9,219.0
157,Lucas Giolito,5.267690973941804,5.279999999999999,136.2,132.0
156,Tyler Wells,5.271917521408974,5.39,555.3,571.0
155,Zach Plesac,5.279734079532358,5.31,561.8,558.0
154,Johnny Cueto,5.2840420314033825,5.2700000000000005,496.9,415.0
153,Brady Singer,5.28941096946356,5.2700000000000005,181.6,178.0
152,Casey Mize,5.296682441648415,5.5,772.7,838.0
151,Dakota Hudson,5.300885808507168,5.38,750.7,724.0
150,Joe Ross,5.303130690097511,5.2299999999999995,,
149,Anthony DeSclafani,5.3097646252077375,5.3,497.3,482.0
148,Jaime Barria,5.317144003211348,5.34,,
147,Tyler Gilbert,5.345659088845354,5.529999999999999,,
146,Reid Detmers,5.350281411000104,5.56,193.4,181.0
145,Noah Syndergaard,5.370673945145328,5.33,305.4,254.0
144,Taylor Widener,5.377514702817898,5.67,,
143,Jose Berrios,5.383433553450537,5.5200000000000005,224.3,210.0
142,Tarik Skubal,5.403095627053458,5.39,411.5,464.0
141,Kyle Hendricks,5.426027741750007,5.59,560.8,501.0
140,Cole Irvin,5.430378762565902,5.3500000000000005,416.6,436.0
139,Austin Voth,5.440476895789251,5.59,856,689.0
138,Carlos Carrasco,5.45669255677564,5.430000000000001,252.3,257.0
137,Bailey Falter,5.4630261953472425,5.23,428.2,473.0
136,Michael Wacha,5.465444213283017,5.48,360.9,338.0
135,Hunter Greene,5.478538254036198,5.65,116,103.0
134,Trevor Rogers,5.4902659324939656,5.47,243.4,246.0
133,Drew Smyly,5.490908747170214,5.390000000000001,482,527.0
132,Corey Kluber,5.506834180486748,5.4,373.5,334.0
131,Michael Pineda,5.522643886822825,5.49,831,768.0
130,Zach Eflin,5.52277766987247,5.470000000000001,286.6,300.0
129,Andre Pallante,5.569678851447634,5.4,775.3,847.0
128,Kyle Gibson,5.570727483623106,5.74,435.7,481.0
127,Brett Anderson,5.596553823298048,5.55,,
126,Justin Dunn,5.603205475783249,5.93,"1,039.70",893.0
125,MacKenzie Gore,5.606089055022689,5.709999999999999,367.8,333.0
124,Adrian Houser,5.612353450271783,5.63,669,721.0
123,Aaron Civale,5.628493387611734,5.609999999999999,299.7,384.0
122,Chris Archer,5.684074835341118,5.7299999999999995,991.7,925.0
121,David Peterson,5.693744594135688,5.71,291.9,326.0
120,Zach Davies,5.705124425993482,5.91,775.8,764.0
119,Jesus Luzardo,5.708376855456469,5.760000000000001,153.5,151.0
118,German Marquez,5.70863319667626,5.82,443.6,337.0
117,Andrew Heaney,5.71572697259969,5.79,203.1,218.0
116,Braxton Garrett,5.7161346432125395,5.41,394.6,452.0
115,Chad Kuhl,5.754977975757091,5.84,,
114,Jake Odorizzi,5.754977975757091,5.84,689.8,593.0
113,Sean Manaea,5.759889245958491,5.71,261.4,275.0
112,Nick Pivetta,5.761437041263843,5.83,394.9,320.0
111,Kyle Freeland,5.783068536310599,5.84,801.5,590.0
110,Josh Winder,5.845918733884695,5.67,740.5,703.0
109,Alex Wood,5.8500471349911685,5.789999999999999,307.2,396.0
108,Antonio Senzatela,5.857418597921303,5.79,,
107,Jon Gray,5.869899068525717,5.859999999999999,194.9,200.0
106,Dane Dunning,5.883577186910619,5.84,617,608.0
105,Dean Kremer,5.892602611807494,5.96,557,480.0
104,John Gant,5.893048223882816,5.99,,
103,JP Sears,5.90561436475528,5.709999999999999,512.3,538.0
102,Nick Martinez,5.918328193421461,5.85,493.1,374.0
101,Zach Thompson,5.931219292921847,5.82,,
100,Jose Suarez,5.962092828939188,6.04,396.3,448.0
99,Eduardo Rodriguez,5.987700812299705,5.88,298.6,308.0
98,Tylor Megill,6.016993314692604,5.93,326.8,424.0
97,Tyler Alexander,6.031114990390655,6.12,,
96,Konnor Pilkington,6.052397145832709,5.96,749,880.0
95,Elieser Hernandez,6.056707561862707,5.92,602,735.0
94,Dylan Bundy,6.072573717523779,6.13,812.8,587.0
93,Austin Gomber,6.079982766950341,6.040000000000001,801,678.0
92,Brad Keller,6.100091244595536,6.15,897,574.0
91,Adbert Alzolay,6.10306936368754,6.12,419.7,554.0
90,Matt Manning,6.1365825914723935,6.16,598.7,530.0
89,Daniel Castano,6.154903443703498,5.970000000000001,,
88,Randy Dobnak,6.157671273414122,6.4,,
87,Chris Paddack,6.166956975507477,6.08,774.5,904.0
86,Drew Hutchison,6.173288907555964,5.9399999999999995,,
85,Mitch Keller,6.186742764475444,6.1899999999999995,403.3,386.0
84,Yusei Kikuchi,6.187011692052991,6.15,479.6,357.0
83,Alec Mills,6.195209752794947,6.180000000000001,,
82,Ryan Yarbrough,6.23188980567859,6.2,975,772.0
81,Jon Lester,6.261767260483884,6.31,,
80,Josiah Gray,6.293376250350973,6.46,370.2,346.0
79,Steven Matz,6.303645321852588,6.319999999999999,332.5,343.0
78,Johan Oviedo,6.330286837307399,6.319999999999999,827.5,627.0
77,Kyle Bradish,6.346069883355423,6.300000000000001,329.4,398.0
76,Griffin Canning,6.353130376201122,6.220000000000001,742.7,622.0
75,J.A. Happ,6.361605210149752,6.59,,
74,Reynaldo Lopez,6.3687341757716425,6.24,358.3,434.0
73,Mike Fiers,6.389028800020524,6.46,,
72,Graham Ashcraft,6.395042258910033,6.31,453.9,375.0
71,Madison Bumgarner,6.441906438254867,6.3100000000000005,812.3,521.0
70,Huascar Ynoa,6.465212263768748,6.470000000000001,,
69,Trevor Williams,6.497146787395199,6.38,845.8,739.0
68,Matthew Boyd,6.503285146085579,6.48,423.4,363.0
67,Paul Blackburn,6.505735861816992,6.41,704.8,588.0
66,Eli Morgan,6.540753130047668,6.61,641,793.0
65,Paolo Espino,6.549721584586809,6.56,"1,023.00",776.0
64,Keegan Thompson,6.578972708211866,6.460000000000001,510,573.0
63,JT Brubaker,6.5875438645761,6.46,538.8,528.0
62,Anibal Sanchez,6.593031902813076,6.74,,
60,Chad Kuhl,6.593157549837597,6.63,,
61,Jake Odorizzi,6.593157549837597,6.63,689.8,593.0
59,Jason Alexander,6.620386866685329,6.45,,
58,Glenn Otto,6.66017372686248,6.71,637.2,626.0
57,Jordan Lyles,6.666806686918329,6.63,802.8,561.0
56,Spenser Watkins,6.668703253844512,6.7299999999999995,,
55,Kris Bubic,6.67987677123814,6.609999999999999,711,717.0
54,Garrett Richards,6.690692805502221,6.51,,
53,Jon Heasley,6.699112023055809,6.69,,
52,Jakob Junis,6.704943938714428,6.5200000000000005,629,636.0
51,Mike Minor,6.724790867050931,6.78,,
50,Aaron Ashby,6.756600950201613,6.23,290.5,369.0
49,Brayan Bello,6.7878357768126305,6.6000000000000005,345.1,347.0
48,Mitch White,6.788175797228871,6.93,800.3,899.0
47,Dallas Keuchel,6.800439092782085,6.86,,
46,Erick Fedde,6.830316794186466,6.95,,
45,Touki Toussaint,6.846563297821499,6.779999999999999,985.7,
44,Humberto Castellanos,6.851511808336586,7.01,,
43,Vladimir Gutierrez,6.863298373776093,6.95,,
42,Bryse Wilson,6.917076294509317,6.95,838,742.0
41,Aaron Sanchez,6.935490359587391,7.1000000000000005,,
40,Mike Foltynewicz,6.973370768152613,7.119999999999999,,
39,Jose Urena,6.985187337960523,7.1,,
38,Daniel Lynch,6.988851400569139,6.91,616.2,610.0
37,Wade LeBlanc,7.052280745853004,7.3100000000000005,,
36,Vince Velasquez,7.099279219948812,7.3100000000000005,820.5,
35,Tucker Davidson,7.103472089118238,7.16,969.7,754.0
34,Luis Patino,7.12203807504263,7.03,592.2,607.0
33,Carlos Hernandez,7.139821950978098,7.220000000000001,"1,030.30",898.0
32,Justus Sheffield,7.1530402820928956,6.970000000000001,"1,019.30",
31,Luke Weaver,7.172347285025004,7.1899999999999995,,
30,Trevor Cahill,7.182111560929765,7.220000000000001,,
29,Josh Fleming,7.263292742766486,7.239999999999999,,
28,Alex Faedo,7.306573582615901,7.17,,
27,Josh Winckowski,7.31333885400379,7.3100000000000005,,
26,Kolby Allard,7.379790442561017,7.540000000000001,949.7,
25,Rick Porcello,7.400206911883128,7.1499999999999995,,
24,Griffin Jax,7.492731058766075,7.43,670.7,704.0
23,Taylor Hearn,7.517335267992237,7.59,884,
22,Wil Crowe,7.553725012889453,7.45,"1,030.30",864.0
21,Bruce Zimmermann,7.561209299122301,7.43,,
20,Patrick Corbin,7.573713482481763,7.390000000000001,822.5,542.0
19,Chase Anderson,7.608835720212954,7.819999999999999,,
18,Kutter Crawford,7.610660386689244,7.41,703.5,629.0
17,Matt Shoemaker,7.6445542393693895,7.75,,
16,Ryan Feltner,7.694454622220349,7.83,"1,078.70",759.0
15,Adrian Martinez,7.800799731191229,7.7700000000000005,734,841.0
14,Jorge Lopez,7.849201628313304,7.9399999999999995,253.8,244.0
13,Keegan Akin,7.913945390102042,7.9,695.7,825.0
12,Matt Moore,8.064145006948843,8.25,714.3,760.0
11,Ryan Weathers,8.068011124083263,8.120000000000001,863.3,
10,Caleb Smith,8.073042099652447,8.32,,
9,Chi Chi Gonzalez,8.12162471902355,8.280000000000001,,
8,Matt Harvey,8.340470455299194,8.32,,
7,Joan Adon,8.363065606547702,8.58,,
6,Adam Oller,8.366172653548166,8.29,"1,050.70",
5,Carlos Martinez,8.369295321673864,8.46,,
4,Chase De Jong,8.440002801603717,8.42,,
3,Jake Arrieta,8.520981298108826,8.36,,
2,Spencer Howard,8.67776075421675,8.6,875.3,920.0
1,Tanner Roark,9.079761825153772,9.040000000000001,,
0,Kohei Arihara,9.210812007441541,9.37,,
