Name,Model_Projection_Sum_of_W_SV_HLD,Actual_Sum_of_W_SV_HLD,ADP_x,Scaled_WSVHLD_Rank,Model_Projection_Sum_of_ERA_WHIP,Actual_Sum_of_ERA_WHIP,ADP_y,Rank,Scaled_ERAWHIP_Rank,Scaled_OVR_Score,OVR_Rank
Jake Bird,0.516507547,7,,0.209167159,5.412491968,6.34,,0.579015201,0.579015201,39.40911799,564
Matt Magill,0.317790686,2,,0.203903926,5.386491564,7.55,,0.583065669,0.583065669,39.34847975,565
Yerry De Los Santos,-0.370910877,5,,0.185662913,5.279121687,6.2,,0.599792266,0.599792266,39.27275895,566
Dinelson Lamet,-0.607531251,7,640.5,0.179395764,5.252423433,7.3,640.5,0.603951448,0.603951448,39.16736064,567
Kyle Barraclough,-1.335391731,5,,0.160117585,5.136980944,5.91,,0.621935636,0.621935636,39.10266103,568
Eric Stout,-0.265733723,2,,0.188448645,5.331084266,7.48,,0.591697285,0.591697285,39.00729649,569
Luke Farrell,-0.964755137,2,,0.1699343,5.224933197,6.16,,0.60823401,0.60823401,38.90841548,570
Cy Sneed,3.964058146,3,,0.300479301,6.066050568,7.56,,0.477200692,0.477200692,38.88399966,571
Rex Brothers,-0.571789287,12,,0.180342429,5.295431401,6.87,,0.59725146,0.59725146,38.87969446,572
Heath Hembree,4.93395632,29,,0.326168113,6.233474397,8.11,,0.451118601,0.451118601,38.86433572,573
Walker Lockett,-4.340395942,1,,0.080526767,4.657151471,5.03,,0.696685783,0.696685783,38.86062754,574
Robert Stock,-4.022394466,0,,0.088949384,4.720122285,6.68,,0.686875887,0.686875887,38.79126351,575
Demarcus Evans,-0.208868533,2,,0.189954782,5.374779278,6.17,,0.584890265,0.584890265,38.74225235,576
Jared Hughes,-1.957130295,3,,0.14365016,5.095590053,6.5,,0.628383708,0.628383708,38.60169342,577
Corbin Martin,-0.974933099,0,,0.169664725,5.265386028,7.33,,0.601932073,0.601932073,38.57983991,578
Julian Merryweather,-0.442171128,5,,0.183775508,5.360359272,7.27,,0.587136683,0.587136683,38.54560955,579
Jake Faria,0.770193143,0,,0.215886299,5.580418423,7.63,,0.552854808,0.552854808,38.43705537,580
Bryse Wilson,-1.367787216,1,746.5,0.159259555,5.250484245,5.9,746.5,0.604253544,0.604253544,38.17565498,581
Hyeon-jong Yang,-0.213842969,0,,0.189823028,5.461395193,6.44,,0.57139682,0.571396821,38.06099245,582
Kervin Castro,-1.432080624,1,,0.157556674,5.26274375,6.43,,0.6023437,0.6023437,37.99501868,583
Conner Menez,-4.144735086,3,,0.085709059,4.805483584,4.52,,0.673577892,0.673577892,37.96434754,584
Cristopher Sanchez,-1.687959538,3,,0.150779442,5.239912017,6.87,,0.605900537,0.605900537,37.83399893,585
Taylor Williams,-1.368322597,9,,0.159245375,5.298148545,7.03,,0.59682817,0.59682817,37.80367725,586
Ashton Goudeau,0.218739189,4,,0.201280439,5.571712609,7.35,,0.554211042,0.554211042,37.77457405,587
Nick Vespi,-2.029789222,7,,0.141725709,5.197305118,5.51,,0.612538045,0.612538045,37.71318771,588
Beau Sulser,-1.861040806,0,,0.146195195,5.234269761,5.11,,0.606779515,0.606779515,37.64873551,589
Tyler Danish,-0.407825076,6,,0.184685201,5.482776475,6.42,,0.568065941,0.568065941,37.63755709,590
Kyle Cody,-0.11432399,0,,0.192458897,5.533130176,7.14,,0.560221599,0.560221599,37.63402482,591
Sean Newcomb,-0.069439742,9,,0.193647706,5.541230124,8.42,,0.55895975,0.55895975,37.63037279,592
Wade LeBlanc,-2.099567835,0,,0.139877546,5.200945347,5.83,,0.611970953,0.611970953,37.59242496,593
Sammy Long,-0.276799082,2,,0.188155567,5.513334158,6.35,,0.563305518,0.563305518,37.57305426,594
Ryan Weber,-1.373759408,7,,0.159101375,5.328089621,5.19,,0.592163805,0.592163805,37.563259,595
Kutter Crawford,-1.004969428,2,612.5,0.16886918,5.405462775,7.26,612.5,0.580110242,0.580110242,37.44897113,596
Nivaldo Rodriguez,1.282746383,0,,0.229461831,5.797614901,6.31,,0.519018894,0.519018894,37.42403627,597
Jonathan Holder,-0.588801364,3,,0.179891846,5.480477475,6.64,,0.568424091,0.568424091,37.41579683,598
Touki Toussaint,-0.672001032,1,,0.177688212,5.473152595,7.85,,0.569565196,0.569565196,37.36267038,599
Nick Ramirez,1.476434309,1,,0.234591868,5.840029048,7.16,,0.512411414,0.512411414,37.35016407,600
Gio Gonzalez,0.798976947,1,,0.21664867,5.727252383,7.39,,0.529980306,0.529980306,37.3314488,601
Trevor Megill,1.623193685,9,,0.23847895,5.87193393,7.65,,0.507441118,0.507441118,37.29600337,602
Yoan Lopez,3.002283454,4,,0.275005648,6.108910965,7.77,,0.470523693,0.470523693,37.27646706,603
Josh Rogers,-3.496839321,2,,0.102869286,5.005373947,6.41,,0.642438008,0.642438008,37.26536467,604
Cory Abbott,0.810777759,0,,0.216961227,5.738258591,6.93,,0.528265706,0.528265706,37.26134666,605
Luis Oviedo,1.156850555,1,,0.226127343,5.808079552,9,,0.51738866,0.51738866,37.17580016,606
Tommy Milone,0.921419106,3,,0.219891684,5.773345117,7.13,,0.522799758,0.522799758,37.1345721,607
Francisco Perez,-0.219307962,0,,0.189678282,5.591771191,7.89,,0.551086219,0.551086219,37.03822507,608
Oliver Ortega,-3.044519502,8,,0.11484947,5.114151299,5.43,,0.625492148,0.625492148,37.01708088,609
Nate Jones,0.627508595,9,,0.212107143,5.738597204,7.54,,0.528212955,0.528212955,37.01600493,610
Paul Campbell,0.54522898,2,,0.209927878,5.725157848,7.3,,0.530306603,0.530306603,37.01172404,611
Antonio Santos,-1.052910672,0,,0.167599404,5.455348013,7.44,,0.572338879,0.572338879,36.99691418,612
Seth Elledge,-3.491345261,1,,0.103014802,5.046885879,6.3,,0.635971079,0.635971079,36.94929404,613
Lewis Thorpe,0.356638874,0,,0.204932863,5.709269049,7.2,,0.532781837,0.532781837,36.88573498,614
Kirby Yates,1.532469475,5,,0.23607602,5.913095277,9.88,,0.501028805,0.501028805,36.85524124,615
Victor Arano,-1.466568143,9,,0.156643234,5.40527436,5.9,,0.580139594,0.580139594,36.83914144,616
Kolby Allard,-0.043947123,4,,0.194322905,5.658556678,7.08,,0.540682054,0.540682054,36.75024798,617
Brandon Waddell,-0.021262319,0,,0.194923737,5.665886692,7.81,,0.539540149,0.539540149,36.72319432,618
Jordan Weems,-0.775002415,0,,0.174960108,5.540536516,7.04,,0.559067804,0.559067804,36.70139558,619
Dan Altavilla,-1.479774308,6,,0.156293455,5.422806671,7.25,,0.577408326,0.577408326,36.68508906,620
Rico Garcia,-1.192937628,3,,0.163890637,5.472697641,6.56,,0.569636071,0.569636071,36.6763354,621
Austin Voth,2.566543931,13,608,0.263464611,6.123286423,8.03,608,0.468284215,0.468284215,36.5874413,622
Chad Kuhl,0.698447789,6,"1,031.00",0.213986045,5.80799983,7.15,"1,031.00",0.51740108,0.51740108,36.56935625,623
David Hale,-1.739484817,1,,0.149414738,5.40770966,7.3,,0.579760212,0.579760212,36.45874749,624
Chi Chi Gonzalez,-2.427529956,1,,0.131191112,5.295885217,6.38,,0.597180762,0.597180762,36.41859369,625
JC Mejia,-2.037167648,1,,0.141530284,5.372896334,7.3,,0.585183599,0.585183599,36.33569414,626
Jake Fishman,-4.780460152,2,,0.068871186,4.908231997,5.27,,0.657571249,0.657571249,36.32212177,627
Anderson Espinoza,-2.349292686,0,,0.133263311,5.330486012,7.04,,0.591790484,0.591790484,36.25268973,628
Patrick Murphy,-5.07079478,5,,0.061181357,4.870853037,6.4,,0.663394324,0.663394324,36.22878401,629
Tyler Webb,-1.522916057,6,,0.155150798,5.474877815,8.58,,0.569296433,0.569296433,36.22236155,630
Brad Keller,-1.671922178,2,773.5,0.151204209,5.462272863,8.25,773.5,0.571260093,0.571260093,36.12321507,631
Eric Hanhold,-0.131839425,0,,0.191994982,5.745774714,8.52,,0.527094808,0.527094808,35.9544895,632
Yunior Marte,-2.66018095,3,,0.125029096,5.331821896,6.88,,0.591582373,0.591582373,35.83057346,633
Jacob Lemoine,2.310162586,0,,0.256674071,6.188120564,9.24,,0.45818404,0.45818404,35.74290556,634
Justin Lawrence,-0.153781099,14,,0.191413833,5.769594672,8.31,,0.52338402,0.52338402,35.73989265,635
Ben Rowen,-1.19124135,0,,0.163935565,5.602337842,6.8,,0.549440095,0.549440095,35.66878303,636
Jeff Brigham,-6.650737231,3,,0.019334856,4.710635326,4.96,,0.688353811,0.688353811,35.38443333,637
Tony Gonsolin,-0.345660072,1,131.8,0.186331709,5.798117117,7.75,131.8,0.518940656,0.518940656,35.26361825,638
Mike Baumann,-1.443214512,4,909.5,0.157261781,5.62738107,7.85,909.5,0.545538741,0.545538741,35.14002607,639
Sam Clay,-1.370678959,11,,0.159182964,5.641432078,7.59,,0.543349807,0.543349807,35.12663855,640
Jake Newberry,-0.92598309,3,,0.17096122,5.730110929,7.86,,0.529534988,0.529534988,35.02481039,641
Ben Bowden,-1.416474558,4,,0.157970018,5.663047725,8.38,,0.539982417,0.539982417,34.89762175,642
Sal Romano,-0.791633249,2,,0.174519622,5.77120297,7.4,,0.523133472,0.523133472,34.8826547,643
Martin Perez,-1.061303445,1,288.4,0.167377112,5.738445783,5.93,288.4,0.528236544,0.528236544,34.78068284,644
Erick Fedde,-6.330234337,1,984,0.027823725,4.844998591,6.17,984,0.667422054,0.667422054,34.76228893,645
Adonis Medina,-1.219604732,2,,0.16318433,5.717466129,7.41,,0.531504856,0.531504856,34.7344593,646
Thomas Szapucki,-3.023086422,1,,0.115417148,5.412555349,6.17,,0.579005327,0.579005327,34.72112375,647
Kaleb Ort,-1.497516349,3,,0.155823537,5.680965213,8.09,,0.537191145,0.537191145,34.6507341,648
Anthony Castro,0.026808669,3,,0.19619695,5.957246302,7.59,,0.494150745,0.494150745,34.51738474,649
Wyatt Mills,-3.503877575,4,,0.10268287,5.358291705,7.76,,0.587458779,0.587458779,34.50708242,650
Hanser Alberto,-6.501823972,0,716,0.023278986,4.905140739,5.12,716,0.65805282,0.65805282,34.06659031,651
Andrew Vasquez,-4.662278092,0,,0.072001367,5.236991373,6.29,,0.606355529,0.606355529,33.91784481,652
J.D. Hammer,-6.089147473,1,,0.034209174,5.016378216,6.55,,0.64072371,0.64072371,33.74664418,653
Tayler Scott,-0.768850374,0,,0.175123051,5.921125505,8.83,,0.499777817,0.499777817,33.74504341,654
Cody Ponce,0.709526784,0,,0.214279485,6.202235907,7.4,,0.455985084,0.455985084,33.51322841,655
Kyle Keller,-2.161986995,3,,0.138224307,5.720545599,8.16,,0.531025121,0.531025121,33.46247141,656
Chad Smith,-0.72790724,0,,0.176207475,5.99452348,9.22,,0.488343527,0.488343527,33.22755008,657
Collin Snider,-1.637261395,11,,0.152122237,5.857156943,8.15,,0.509743148,0.509743148,33.09326925,658
Shaun Anderson,0.013555131,2,,0.195845915,6.155073013,8.68,,0.463332347,0.463332347,32.9589131,659
Calvin Faucher,-1.333614122,4,,0.160164667,5.929287424,7.17,,0.498506314,0.498506314,32.93354903,660
Will Harris,-4.653649983,7,,0.072229892,5.365214819,6.25,,0.586380263,0.586380263,32.93050774,661
Brandon Workman,1.136893278,16,,0.225598753,6.357702924,7.78,,0.431765683,0.431765683,32.86822176,662
Edwin Uceta,-4.03921664,0,,0.08850383,5.499833116,7.44,,0.565408776,0.565408776,32.69563028,663
Anthony Kay,-1.12756432,4,,0.165622121,6.001256437,7.73,,0.487294634,0.487294634,32.64583774,664
Jesse Biddle,-0.94618576,0,,0.17042613,6.069848089,9.7,,0.476609096,0.476609096,32.3517613,665
Sean Hjelle,-3.746602496,1,,0.096254035,5.596745013,7.4,,0.550311373,0.550311373,32.32827042,666
Yoshihisa Hirano,-1.691477711,5,,0.150686259,5.946390888,7.95,,0.495841854,0.495841854,32.32640563,667
Jimmy Cordero,-3.345256147,9,,0.106884131,5.677942177,7.66,,0.537662088,0.537662088,32.22731095,668
Dakota Bacus,-1.733918598,2,,0.149562166,5.957708383,9.97,,0.49407876,0.49407876,32.18204628,669
Wade Davis,1.432210698,6,,0.233420557,6.501934793,9.64,,0.409296547,0.409296547,32.1358552,670
Luke Weaver,-6.309288947,1,,0.028378486,5.195792312,6.47,,0.612773717,0.612773717,32.05761019,671
JoJo Romero,-1.163372663,7,,0.164673698,6.072871026,7.75,,0.476138168,0.476138168,32.0405933,672
Luis Madero,1.788440956,0,,0.242855704,6.583016324,10.75,,0.396665275,0.396665275,31.97604898,673
Alberto Baldonado,-3.45450829,3,,0.103990469,5.709203907,10.03,,0.532791985,0.532791985,31.83912269,674
Angel Perdomo,-1.465921231,1,,0.156660369,6.057942038,10.17,,0.478463878,0.478463878,31.75621233,675
Kyle Ryan,-2.729259794,7,,0.123199467,5.86743753,7.45,,0.508141588,0.508141588,31.56705279,676
Ramon Rosso,-2.833434722,0,,0.120440281,5.85187043,7.5,,0.510566706,0.510566706,31.55034934,677
Jason Alexander,0.162765603,0,,0.199797918,6.379140202,9.07,,0.42842608,0.42842608,31.41119988,678
Josh A. Smith,0.103484034,3,,0.198227781,6.370193031,9.13,,0.429819913,0.429819913,31.4023847,679
Chaz Roe,-7.38073756,6,,0,5.106104606,6,,0.6267457,0.6267457,31.33728502,680
Shun Yamaguchi,0.596570119,3,,0.211287704,6.478831081,9.81,,0.412895754,0.412895754,31.20917292,681
Alec Mills,0.035304765,3,,0.196421978,6.408047211,9,,0.423922807,0.423922807,31.01723925,682
Jeremy Beasley,-2.947037307,0,,0.117431392,5.903564954,7.34,,0.502513484,0.502513484,30.99724382,683
David Hess,0.963937511,4,,0.22101783,6.573134753,8.8,,0.398204674,0.398204674,30.96112522,684
Aaron Fletcher,0.950399775,1,,0.220659269,6.571061271,10.98,,0.398527691,0.398527691,30.95934798,685
Jesus Luzardo,-0.379148007,2,139.2,0.185444744,6.347066285,9.41,139.2,0.433422709,0.433422709,30.94337267,686
Reymin Guduan,-3.831369944,0,,0.094008877,5.781867551,7.95,,0.521472092,0.521472092,30.77404844,687
Andrew Heaney,-2.819155144,1,213.8,0.120818491,5.959951859,8.71,213.8,0.49372926,0.49372926,30.72738756,688
Brett de Geus,-0.226592051,6,,0.189485355,6.404294047,9.3,,0.424507493,0.424507493,30.6996424,689
Elieser Hernandez,-0.471198857,1,561.5,0.183006677,6.376884345,9.13,561.5,0.428777508,0.428777508,30.58920925,690
Chris Devenski,3.350641817,5,,0.2842323,7.029172024,11.22,,0.32716099,0.32716099,30.5696645,691
Luis Avilan,-2.163396392,0,,0.138186977,6.101578515,9.23,,0.471665977,0.471665977,30.49264774,692
Dellin Betances,-4.109493065,4,,0.086642482,5.785957126,9.79,,0.520834998,0.520834998,30.37387403,693
Justin Miller,-3.610550354,4,,0.099857525,5.891897908,7.53,,0.504331033,0.504331033,30.20942787,694
Luis Frias,0.008015791,5,,0.1956992,6.513741087,11.61,,0.407457305,0.407457305,30.15782527,695
Drew VerHagen,-1.214147478,5,,0.163328871,6.349560937,8.54,,0.433034081,0.43303408,29.81814759,696
Dusten Knight,0.969358238,0,,0.221161404,6.745750206,8.9,,0.371313807,0.371313807,29.62376055,697
James Norwood,-4.415774581,2,,0.078530282,5.831877278,9.09,,0.513681336,0.513681336,29.61058088,698
Bennett Sousa,-0.353474054,9,,0.186124747,6.527798985,10.13,,0.405267298,0.405267298,29.56960225,699
Miguel Yajure,0.044040004,2,,0.196653341,6.631954436,9.9,,0.38904146,0.38904146,29.28474004,700
Jefry Rodriguez,-2.418146805,0,,0.131439635,6.227763538,8.95,,0.452008266,0.452008266,29.17239504,701
Keury Mella,-3.703478161,2,,0.09739623,6.0108632,8.14,,0.485798046,0.485798046,29.15971382,702
Norge Ruiz,-2.092623484,1,,0.140061475,6.312853577,9.06,,0.43875253,0.43875253,28.94070025,703
Yusei Kikuchi,-7.071532269,3,424.8,0.00818964,5.46846121,6.33,424.8,0.570296042,0.570296042,28.9242841,704
Dereck Rodriguez,1.499562912,0,,0.235204454,6.930571948,9,,0.342521385,0.342521385,28.88629195,705
Dylan Covey,-2.878854778,1,,0.119237281,6.202432833,8.5,,0.455954406,0.455954406,28.75958432,706
Ryan Meisinger,-1.101201637,0,,0.166320365,6.510236522,11.1,,0.408003264,0.408003264,28.71618144,707
Mauricio Llovera,-2.869251342,2,,0.119491638,6.216712537,9.26,,0.453729845,0.453729844,28.66107414,708
Zack Burdi,0.83895175,1,,0.217707446,6.851237187,9.64,,0.354880536,0.354880537,28.62939913,709
Hector Rondon,-2.970538651,8,,0.116808933,6.275353612,9.45,,0.444594455,0.444594455,28.07016943,710
Justin Grimm,-0.861792589,3,,0.172661375,6.642250612,9.1,,0.387437472,0.387437472,28.00494238,711
Sean Guenther,-3.148681436,0,,0.112090627,6.277982144,11.32,,0.44418497,0.44418497,27.81377985,712
Michael Feliz,-0.96820423,1,,0.169842947,6.679253451,9.96,,0.381672992,0.381672992,27.57579693,713
Michael Wacha,-1.234129446,1,352.2,0.162799627,6.634072346,8.72,352.2,0.388711522,0.388711522,27.57555746,714
Shelby Miller,-1.683508144,2,823,0.150897342,6.564263321,10.07,823,0.399586708,0.399586708,27.5242025,715
Dovydas Neverauskas,-3.627608267,0,,0.099405727,6.241273449,8.9,,0.449903627,0.449903627,27.46546772,716
Josh Lindblom,0.766061335,0,,0.215776864,6.993330611,10.45,,0.332744538,0.332744538,27.4260701,717
Colten Brewer,-1.495652193,0,,0.155872912,6.613385679,8.43,,0.391934191,0.391934191,27.39035511,718
T.J. Zeuch,0.347734656,1,,0.204697025,6.931083221,8.13,,0.342441737,0.342441737,27.35693807,719
Beau Burrows,-0.038928514,0,,0.194455829,6.865560864,10.34,,0.352649125,0.352649125,27.35524769,720
Jose Marte,-3.391682448,0,,0.10565448,6.296505726,10,,0.441299277,0.441299277,27.34768785,721
Jimmy Yacabonis,-0.117978499,1,,0.192362104,6.860934078,10.36,,0.353369908,0.353369908,27.28660058,722
Casey Lawrence,-0.21006863,0,,0.189922996,6.847016733,9,,0.355538019,0.355538019,27.27305075,723
Trevor Kelley,-3.328651825,3,,0.107323915,6.34061045,8.26,,0.434428431,0.43442843,27.08761727,724
J.B. Bukauskas,-1.970195842,3,,0.143304105,6.587085027,9.58,,0.396031433,0.396031433,26.9667769,725
Robert Dugger,-2.228541176,0,,0.136461547,6.580346686,9.53,,0.397081164,0.397081164,26.67713555,726
James Kaprielian,-1.909433591,0,496,0.144913459,6.636204339,9.08,496,0.38837939,0.38837939,26.66464247,727
Tyler Cyr,-1.909433591,0,,0.144913459,6.636204339,9.08,,0.38837939,0.38837939,26.66464247,728
Ryan Buchter,-4.946416114,2,,0.064475661,6.211058649,7.83,,0.454610634,0.454610634,25.95431479,729
Jairo Diaz,-1.038422802,8,,0.167983131,6.882747314,9.9,,0.349971737,0.349971737,25.89774341,730
Stephen Tarpley,-1.512555227,5,,0.155425216,6.849993881,12.64,,0.355074225,0.355074225,25.52497205,731
Jacob Waguespack,-3.703857441,1,,0.097386185,6.485141539,10.19,,0.411912681,0.411912681,25.46494327,732
Chase Anderson,-0.844077353,1,,0.173130583,7.035836195,10.31,,0.326122813,0.326122813,24.9626698,733
Jackson Kowar,0.076740538,2,,0.19751945,7.325425046,11.36,,0.281009266,0.281009267,23.92643582,734
Robbie Erlin,-0.650758992,0,,0.178250831,7.230927575,9.82,,0.295730538,0.295730538,23.69906843,735
Shawn Morimando,-1.430088656,0,,0.157609433,7.16158468,11.81,,0.306533108,0.306533108,23.20712709,736
Jose De Leon,-2.168982563,0,,0.138039022,7.131513295,14.87,,0.311217774,0.311217774,22.46283976,737
James Kaprielian,-5.415565932,2,496,0.052049716,6.636204339,9.08,496,0.38837939,0.38837939,22.02145531,738
Tyler Cyr,-5.415565932,2,,0.052049716,6.636204339,9.08,,0.38837939,0.38837939,22.02145531,739
Elvis Peguero,-1.561510153,0,,0.154128592,7.320165342,11.08,,0.281828649,0.281828649,21.79786201,740
Justin Topa,-3.909017715,1,,0.091952291,6.940322902,10.15,,0.341002334,0.341002334,21.64773126,741
Phillip Diehl,1.018013855,0,,0.222450101,7.780984832,12.43,,0.210039968,0.210039968,21.62450345,742
Nick Goody,-0.787012453,1,,0.174642009,7.551141125,12.1,,0.245846128,0.245846128,21.02440684,743
Spenser Watkins,0.874902994,1,,0.218659654,7.842128831,12.11,,0.200514661,0.200514661,20.95871574,744
Yennier Cano,-2.130171056,1,,0.139066987,7.388435677,13.83,,0.271193167,0.271193167,20.51300767,745
Konner Wade,0.526369266,0,,0.209428358,7.870126882,13.95,,0.196152989,0.196152989,20.27906735,746
Edgar Garcia,1.083394015,4,,0.224181766,8.125212043,13.89,,0.156414594,0.156414594,19.029818,747
Wilmer Font,-4.249738638,3,,0.082927925,7.228702942,12.19,,0.296077102,0.296077102,18.95025135,748
Franklyn Kilome,0.063969916,1,,0.197181206,8.009091047,13.15,,0.174504482,0.174504482,18.5842844,749
Andrew Nardi,-3.323989604,2,,0.107447399,7.521103295,12.48,,0.250525566,0.250525566,17.89864824,750
Marcus Walden,-0.684888742,3,,0.177346867,8.085711903,11.85,,0.162568116,0.162568116,16.99574913,751
Jake Jewell,-2.106316023,0,,0.139698813,7.891268322,12.2,,0.192859474,0.192859474,16.62791436,752
A.J. Alexy,-1.054987702,1,,0.167544392,8.122162046,15.19,,0.156889737,0.156889737,16.22170643,753
Anthony Swarzak,-6.050387979,0,,0.035235761,7.418804801,11.19,,0.266462118,0.266462118,15.08489397,754
Randy Dobnak,-4.970873643,1,,0.063827877,7.754623943,12.18,,0.214146594,0.214146594,13.89872355,755
Brooks Kriske,-0.015266801,2,,0.195082535,9.129254634,16.6,,0,0,9.754126753,756
